,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
1,726.0,753.0,798.0,798.0
2,646.0,736.0,760.0,760.0
3,729.0,771.0,840.0,840.0
4,704.0,743.0,785.0,785.0
5,699.0,741.0,783.0,783.0
6,725.0,761.0,794.0,794.0
7,713.0,734.0,791.0,791.0
8,707.0,755.0,836.0,836.0
9,668.0,734.0,770.0,770.0
10,743.0,782.0,851.0,851.0
11,711.0,765.0,792.0,792.0
12,687.0,738.0,777.0,777.0
13,718.0,778.0,841.0,841.0
14,653.0,734.0,764.0,764.0
15,677.0,734.0,773.0,773.0
16,743.0,773.0,854.0,854.0
17,683.0,752.0,824.0,824.0
18,670.0,718.0,763.0,763.0
19,766.0,805.0,865.0,865.0
20,739.0,778.0,850.0,850.0
21,759.0,792.0,861.0,861.0
22,699.0,747.0,783.0,783.0
23,720.0,762.0,798.0,798.0
24,674.0,710.0,767.0,767.0
25,644.0,683.0,749.0,749.0
26,680.0,749.0,776.0,776.0
27,709.0,751.0,793.0,793.0
28,671.0,746.0,773.0,773.0
29,695.0,749.0,782.0,782.0
30,696.0,738.0,783.0,783.0
31,658.0,712.0,763.0,763.0
32,704.0,731.0,788.0,788.0
33,624.0,663.0,735.0,735.0
34,707.0,737.0,782.0,782.0
35,662.0,710.0,770.0,770.0
36,735.0,762.0,852.0,852.0
37,688.0,751.0,784.0,784.0
38,720.0,744.0,843.0,843.0
39,718.0,754.0,835.0,835.0
40,753.0,774.0,858.0,858.0
41,637.0,676.0,754.0,754.0
42,683.0,743.0,776.0,776.0
43,703.0,745.0,784.0,784.0
44,708.0,732.0,789.0,789.0
45,632.0,704.0,749.0,749.0
46,664.0,727.0,763.0,763.0
47,770.0,800.0,866.0,866.0
48,698.0,743.0,782.0,782.0
49,686.0,731.0,773.0,773.0
50,713.0,764.0,839.0,839.0
51,698.0,767.0,833.0,833.0
52,652.0,709.0,811.0,811.0
53,724.0,754.0,841.0,841.0
54,735.0,750.0,849.0,849.0
55,691.0,733.0,781.0,781.0
56,757.0,805.0,859.0,859.0
57,762.0,786.0,858.0,858.0
58,684.0,723.0,777.0,777.0
59,697.0,730.0,784.0,784.0
60,650.0,701.0,761.0,761.0
61,758.0,794.0,857.0,857.0
62,779.0,809.0,869.0,869.0
63,702.0,747.0,786.0,786.0
64,622.0,676.0,742.0,742.0
65,723.0,750.0,798.0,798.0
66,762.0,795.0,858.0,858.0
67,669.0,717.0,771.0,771.0
68,702.0,744.0,786.0,786.0
69,684.0,738.0,777.0,777.0
70,711.0,762.0,837.0,837.0
71,765.0,789.0,858.0,858.0
72,737.0,761.0,848.0,848.0
73,692.0,713.0,779.0,779.0
74,691.0,748.0,781.0,781.0
75,726.0,771.0,840.0,840.0
76,686.0,746.0,782.0,782.0
77,698.0,743.0,788.0,788.0
78,656.0,728.0,764.0,764.0
79,767.0,773.0,860.0,860.0
80,624.0,684.0,741.0,741.0
81,681.0,732.0,777.0,777.0
82,709.0,736.0,787.0,787.0
83,682.0,733.0,778.0,778.0
84,679.0,745.0,778.0,778.0
85,708.0,768.0,834.0,834.0
86,672.0,735.0,771.0,771.0
87,672.0,729.0,765.0,765.0
88,770.0,788.0,866.0,866.0
89,737.0,776.0,854.0,854.0
90,671.0,704.0,773.0,773.0
91,733.0,778.0,847.0,847.0
92,653.0,692.0,758.0,758.0
93,724.0,754.0,841.0,841.0
94,661.0,718.0,766.0,766.0
95,695.0,740.0,785.0,785.0
96,684.0,741.0,780.0,780.0
97,719.0,746.0,791.0,791.0
98,720.0,753.0,840.0,840.0
99,675.0,717.0,768.0,768.0
100,701.29,745.48,801.61,801.61
