,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
1,1745.0,1850.0,2033.0,2033.0
2,1766.0,1895.0,2048.0,2048.0
3,1685.0,1829.0,2009.0,2009.0
4,1668.0,1806.0,1995.0,1995.0
5,1703.0,1823.0,2009.0,2009.0
6,1704.0,1845.0,2016.0,2016.0
7,1844.0,1934.0,2090.0,2090.0
8,1804.0,1900.0,2068.0,2068.0
9,1687.0,1816.0,1900.0,1900.0
10,1723.0,1834.0,2020.0,2020.0
11,1795.0,1906.0,2062.0,2062.0
12,1661.0,1790.0,1994.0,1994.0
13,1791.0,1920.0,2064.0,2064.0
14,1685.0,1862.0,2012.0,2012.0
15,1814.0,1913.0,2072.0,2072.0
16,1601.0,1766.0,1862.0,1862.0
17,1693.0,1795.0,2011.0,2011.0
18,1789.0,1900.0,2056.0,2056.0
19,1722.0,1848.0,2025.0,2025.0
20,1769.0,1859.0,2045.0,2045.0
21,1761.0,1887.0,2049.0,2049.0
22,1741.0,1870.0,2038.0,2038.0
23,1630.0,1771.0,1876.0,1876.0
24,1666.0,1810.0,2002.0,2002.0
25,1806.0,1899.0,2067.0,2067.0
26,1648.0,1813.0,1993.0,1993.0
27,1743.0,1857.0,2040.0,2040.0
28,1684.0,1831.0,2014.0,2014.0
29,1731.0,1857.0,2028.0,2028.0
30,1766.0,1901.0,2048.0,2048.0
31,1663.0,1810.0,1999.0,1999.0
32,1818.0,1929.0,2073.0,2073.0
33,1692.0,1821.0,1899.0,1899.0
34,1770.0,1878.0,2043.0,2043.0
35,1753.0,1900.0,2047.0,2047.0
36,1671.0,1821.0,1998.0,1998.0
37,1771.0,1882.0,2047.0,2047.0
38,1670.0,1820.0,2003.0,2003.0
39,1745.0,1844.0,2042.0,2042.0
40,1644.0,1776.0,1878.0,1878.0
41,1703.0,1796.0,2015.0,2015.0
42,1749.0,1884.0,2043.0,2043.0
43,1731.0,1863.0,2031.0,2031.0
44,1765.0,1879.0,2041.0,2041.0
45,1692.0,1836.0,2013.0,2013.0
46,1722.0,1821.0,2028.0,2028.0
47,1690.0,1819.0,2011.0,2011.0
48,1782.0,1893.0,2052.0,2052.0
49,1769.0,1871.0,2051.0,2051.0
50,1577.0,1724.0,1844.0,1844.0
51,1690.0,1837.0,2011.0,2011.0
52,1657.0,1768.0,1993.0,1993.0
53,1716.0,1830.0,2022.0,2022.0
54,1783.0,1876.0,2053.0,2053.0
55,1708.0,1882.0,2023.0,2023.0
56,1776.0,1890.0,2055.0,2055.0
57,1770.0,1899.0,2049.0,2049.0
58,1670.0,1820.0,2006.0,2006.0
59,1734.0,1866.0,2028.0,2028.0
60,1723.0,1873.0,2032.0,2032.0
61,1604.0,1769.0,1862.0,1862.0
62,1720.0,1840.0,2023.0,2023.0
63,1820.0,1922.0,2069.0,2069.0
64,1700.0,1838.0,2012.0,2012.0
65,1697.0,1805.0,1904.0,1904.0
66,1556.0,1739.0,1835.0,1835.0
67,1725.0,1866.0,2031.0,2031.0
68,1646.0,1796.0,1985.0,1985.0
69,1707.0,1812.0,2016.0,2016.0
70,1723.0,1840.0,2026.0,2026.0
71,1709.0,1808.0,2015.0,2015.0
72,1666.0,1834.0,2002.0,2002.0
73,1758.0,1890.0,2043.0,2043.0
74,1701.0,1884.0,2025.0,2025.0
75,1729.0,1849.0,2026.0,2026.0
76,1810.0,1882.0,2062.0,2062.0
77,1820.0,1919.0,2072.0,2072.0
78,1721.0,1871.0,2027.0,2027.0
79,1772.0,1862.0,2051.0,2051.0
80,1727.0,1850.0,2030.0,2030.0
81,1690.0,1813.0,1900.0,1900.0
82,1633.0,1777.0,1876.0,1876.0
83,1685.0,1790.0,1889.0,1889.0
84,1709.0,1823.0,2012.0,2012.0
85,1663.0,1819.0,2002.0,2002.0
86,1788.0,1878.0,2052.0,2052.0
87,1640.0,1823.0,1982.0,1982.0
88,1792.0,1921.0,2059.0,2059.0
89,1644.0,1785.0,1875.0,1875.0
90,1670.0,1820.0,2000.0,2000.0
91,1712.0,1844.0,2018.0,2018.0
92,1750.0,1882.0,2038.0,2038.0
93,1820.0,1922.0,2078.0,2078.0
94,1652.0,1811.0,1985.0,1985.0
95,1717.0,1852.0,2026.0,2026.0
96,1791.0,1893.0,2058.0,2058.0
97,1654.0,1783.0,1990.0,1990.0
98,1686.0,1788.0,2007.0,2007.0
99,1703.0,1817.0,2015.0,2015.0
100,1718.55,1845.72,2009.85,2009.85
