,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
1,2271.0,2439.0,2610.0,2610.0
2,2314.0,2458.0,2629.0,2629.0
3,2161.0,2344.0,2545.0,2545.0
4,2331.0,2487.0,2637.0,2637.0
5,2120.0,2303.0,2525.0,2525.0
6,2271.0,2409.0,2601.0,2601.0
7,2313.0,2448.0,2631.0,2631.0
8,2270.0,2462.0,2618.0,2618.0
9,2308.0,2476.0,2629.0,2629.0
10,2217.0,2403.0,2574.0,2574.0
11,2152.0,2371.0,2539.0,2539.0
12,2138.0,2351.0,2543.0,2543.0
13,2071.0,2296.0,2506.0,2506.0
14,2097.0,2328.0,2526.0,2526.0
15,2217.0,2388.0,2592.0,2592.0
16,2245.0,2407.0,2593.0,2593.0
17,2332.0,2443.0,2635.0,2635.0
18,2216.0,2396.0,2579.0,2579.0
19,2292.0,2439.0,2607.0,2607.0
20,2249.0,2435.0,2591.0,2591.0
21,2247.0,2427.0,2607.0,2607.0
22,2212.0,2368.0,2572.0,2572.0
23,2274.0,2457.0,2610.0,2610.0
24,2383.0,2488.0,2659.0,2659.0
25,2270.0,2450.0,2606.0,2606.0
26,2301.0,2442.0,2625.0,2625.0
27,2225.0,2387.0,2585.0,2585.0
28,2264.0,2471.0,2609.0,2609.0
29,2329.0,2485.0,2638.0,2638.0
30,2213.0,2387.0,2573.0,2573.0
31,2299.0,2446.0,2626.0,2626.0
32,2265.0,2424.0,2604.0,2604.0
33,2214.0,2406.0,2583.0,2583.0
34,2128.0,2311.0,2524.0,2524.0
35,2220.0,2382.0,2580.0,2580.0
36,2342.0,2489.0,2642.0,2642.0
37,2176.0,2398.0,2563.0,2563.0
38,2298.0,2457.0,2622.0,2622.0
39,2188.0,2374.0,2569.0,2569.0
40,2177.0,2387.0,2561.0,2561.0
41,2385.0,2529.0,2673.0,2673.0
42,2365.0,2533.0,2656.0,2656.0
43,2391.0,2496.0,2664.0,2664.0
44,2328.0,2490.0,2637.0,2637.0
45,2233.0,2392.0,2590.0,2590.0
46,2261.0,2414.0,2603.0,2603.0
47,2293.0,2458.0,2623.0,2623.0
48,2158.0,2386.0,2554.0,2554.0
49,2302.0,2467.0,2623.0,2623.0
50,2219.0,2414.0,2588.0,2588.0
51,2308.0,2461.0,2629.0,2629.0
52,2061.0,2262.0,2502.0,2502.0
53,2317.0,2446.0,2629.0,2629.0
54,2286.0,2412.0,2607.0,2607.0
55,2219.0,2387.0,2582.0,2582.0
56,2171.0,2351.0,2558.0,2558.0
57,2187.0,2358.0,2562.0,2562.0
58,2319.0,2463.0,2625.0,2625.0
59,2166.0,2340.0,2553.0,2553.0
60,2285.0,2447.0,2621.0,2621.0
61,2232.0,2403.0,2583.0,2583.0
62,2292.0,2445.0,2616.0,2616.0
63,2345.0,2462.0,2645.0,2645.0
64,2275.0,2422.0,2608.0,2608.0
65,2199.0,2364.0,2574.0,2574.0
66,2287.0,2428.0,2617.0,2617.0
67,2220.0,2397.0,2592.0,2592.0
68,2152.0,2371.0,2548.0,2548.0
69,2296.0,2452.0,2617.0,2617.0
70,2201.0,2399.0,2567.0,2567.0
71,2198.0,2354.0,2567.0,2567.0
72,2193.0,2361.0,2562.0,2562.0
73,2191.0,2371.0,2575.0,2575.0
74,2283.0,2469.0,2622.0,2622.0
75,2268.0,2454.0,2607.0,2607.0
76,2339.0,2483.0,2645.0,2645.0
77,2142.0,2322.0,2535.0,2535.0
78,2225.0,2375.0,2588.0,2588.0
79,2244.0,2418.0,2604.0,2604.0
80,2254.0,2404.0,2605.0,2605.0
81,2260.0,2443.0,2605.0,2605.0
82,2256.0,2403.0,2607.0,2607.0
83,2303.0,2465.0,2621.0,2621.0
84,2367.0,2499.0,2658.0,2658.0
85,2166.0,2355.0,2556.0,2556.0
86,2271.0,2448.0,2607.0,2607.0
87,2255.0,2384.0,2597.0,2597.0
88,2225.0,2390.0,2588.0,2588.0
89,2297.0,2459.0,2624.0,2624.0
90,2197.0,2371.0,2572.0,2572.0
91,2273.0,2450.0,2612.0,2612.0
92,2290.0,2416.0,2608.0,2608.0
93,2296.0,2449.0,2611.0,2611.0
94,2270.0,2426.0,2612.0,2612.0
95,2279.0,2435.0,2606.0,2606.0
96,2315.0,2471.0,2630.0,2630.0
97,2282.0,2435.0,2618.0,2618.0
98,2279.0,2426.0,2609.0,2609.0
99,2216.0,2387.0,2576.0,2576.0
100,2249.34,2416.32,2596.8,2596.8
