,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,1953.0,2064.0,2160.0,2160.0
1,1891.0,2068.0,2239.0,2239.0
2,2006.0,2108.0,2294.0,2294.0
3,1846.0,1975.0,2110.0,2110.0
4,2025.0,2124.0,2310.0,2310.0
5,2063.0,2174.0,2330.0,2330.0
6,1972.0,2107.0,2281.0,2281.0
7,1937.0,2039.0,2153.0,2153.0
8,1845.0,2019.0,2223.0,2223.0
9,1902.0,2052.0,2250.0,2250.0
10,1965.0,2085.0,2271.0,2271.0
11,1915.0,2053.0,2149.0,2149.0
12,2008.0,2107.0,2299.0,2299.0
13,1927.0,2065.0,2257.0,2257.0
14,1913.0,2057.0,2258.0,2258.0
15,1898.0,2030.0,2132.0,2132.0
16,1949.0,2102.0,2267.0,2267.0
17,1854.0,2025.0,2112.0,2112.0
18,2004.0,2136.0,2295.0,2295.0
19,1961.0,2066.0,2270.0,2270.0
20,2008.0,2104.0,2290.0,2290.0
21,2032.0,2143.0,2308.0,2308.0
22,2056.0,2155.0,2317.0,2317.0
23,1927.0,2077.0,2260.0,2260.0
24,1844.0,2018.0,2114.0,2114.0
25,2035.0,2137.0,2311.0,2311.0
26,2012.0,2117.0,2300.0,2300.0
27,1997.0,2090.0,2294.0,2294.0
28,1964.0,2054.0,2273.0,2273.0
29,2112.0,2214.0,2349.0,2349.0
30,2000.0,2123.0,2294.0,2294.0
31,2030.0,2114.0,2309.0,2309.0
32,1945.0,2038.0,2152.0,2152.0
33,1924.0,2062.0,2149.0,2149.0
34,1903.0,2044.0,2140.0,2140.0
35,2077.0,2188.0,2335.0,2335.0
36,2115.0,2205.0,2349.0,2349.0
37,2006.0,2078.0,2294.0,2294.0
38,1971.0,2109.0,2286.0,2286.0
39,1973.0,2060.0,2279.0,2279.0
40,1946.0,2096.0,2270.0,2270.0
41,1970.0,2090.0,2282.0,2282.0
42,1787.0,1979.0,2081.0,2081.0
43,1865.0,2003.0,2117.0,2117.0
44,1917.0,2055.0,2250.0,2250.0
45,1893.0,2022.0,2130.0,2130.0
46,2060.0,2141.0,2324.0,2324.0
47,1998.0,2115.0,2298.0,2298.0
48,1996.0,2143.0,2299.0,2299.0
49,1930.0,2077.0,2260.0,2260.0
50,2081.0,2171.0,2339.0,2339.0
51,2109.0,2193.0,2346.0,2346.0
52,1964.0,2099.0,2276.0,2276.0
53,2051.0,2156.0,2318.0,2318.0
54,1900.0,2053.0,2242.0,2242.0
55,1889.0,2018.0,2237.0,2237.0
56,1930.0,2080.0,2266.0,2266.0
57,2022.0,2118.0,2313.0,2313.0
58,1989.0,2112.0,2289.0,2289.0
59,2022.0,2175.0,2310.0,2310.0
60,1878.0,2025.0,2235.0,2235.0
61,2002.0,2155.0,2296.0,2296.0
62,1943.0,2096.0,2264.0,2264.0
63,2059.0,2143.0,2317.0,2317.0
64,1978.0,2134.0,2278.0,2278.0
65,1902.0,2073.0,2241.0,2241.0
66,1998.0,2112.0,2295.0,2295.0
67,1998.0,2136.0,2298.0,2298.0
68,2001.0,2130.0,2292.0,2292.0
69,2068.0,2188.0,2326.0,2326.0
70,2098.0,2188.0,2335.0,2335.0
71,1922.0,2078.0,2258.0,2258.0
72,2014.0,2101.0,2302.0,2302.0
73,2010.0,2151.0,2304.0,2304.0
74,1938.0,2022.0,2262.0,2262.0
75,1884.0,2052.0,2244.0,2244.0
76,2010.0,2127.0,2298.0,2298.0
77,1990.0,2095.0,2290.0,2290.0
78,2130.0,2193.0,2358.0,2358.0
79,2012.0,2111.0,2297.0,2297.0
80,2012.0,2111.0,2303.0,2303.0
81,1824.0,1941.0,2094.0,2094.0
82,2028.0,2160.0,2310.0,2310.0
83,1858.0,2062.0,2227.0,2227.0
84,2018.0,2138.0,2300.0,2300.0
85,2035.0,2155.0,2317.0,2317.0
86,2053.0,2143.0,2317.0,2317.0
87,1930.0,2068.0,2263.0,2263.0
88,1983.0,2100.0,2286.0,2286.0
89,2039.0,2153.0,2312.0,2312.0
90,1971.0,2106.0,2283.0,2283.0
91,1991.0,2066.0,2282.0,2282.0
92,2012.0,2111.0,2297.0,2297.0
93,2006.0,2102.0,2300.0,2300.0
94,2090.0,2183.0,2333.0,2333.0
95,1970.0,2126.0,2279.0,2279.0
96,1956.0,2100.0,2268.0,2268.0
97,2128.0,2209.0,2359.0,2359.0
98,1902.0,2064.0,2241.0,2241.0
99,1977.0,2106.0,2283.0,2283.0
100,1977.02,2099.96,2267.54,2267.54
