,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,6106.0,6445.0,6802.0,6802.0
1,6187.0,6487.0,6847.0,6847.0
2,5965.0,6334.0,6736.0,6736.0
3,5835.0,6276.0,6666.0,6666.0
4,5965.0,6352.0,6748.0,6748.0
5,5944.0,6331.0,6709.0,6709.0
6,6043.0,6382.0,6778.0,6778.0
7,5802.0,6240.0,6657.0,6657.0
8,5918.0,6335.0,6716.0,6716.0
9,6115.0,6466.0,6805.0,6805.0
10,5980.0,6349.0,6754.0,6754.0
11,5971.0,6343.0,6742.0,6742.0
12,6172.0,6526.0,6847.0,6847.0
13,6207.0,6504.0,6858.0,6858.0
14,5962.0,6337.0,6736.0,6736.0
15,5847.0,6231.0,6675.0,6675.0
16,6032.0,6416.0,6767.0,6767.0
17,5789.0,6239.0,6650.0,6650.0
18,6099.0,6423.0,6810.0,6810.0
19,6255.0,6594.0,6888.0,6888.0
20,6126.0,6426.0,6819.0,6819.0
21,6132.0,6417.0,6813.0,6813.0
22,6113.0,6434.0,6806.0,6806.0
23,6146.0,6470.0,6830.0,6830.0
24,5927.0,6335.0,6725.0,6725.0
25,5893.0,6346.0,6712.0,6712.0
26,6172.0,6499.0,6853.0,6853.0
27,5982.0,6336.0,6738.0,6738.0
28,6169.0,6496.0,6847.0,6847.0
29,6004.0,6403.0,6757.0,6757.0
30,5956.0,6355.0,6736.0,6736.0
31,6129.0,6507.0,6816.0,6816.0
32,6005.0,6356.0,6749.0,6749.0
33,5867.0,6272.0,6689.0,6689.0
34,6079.0,6451.0,6799.0,6799.0
35,6052.0,6379.0,6793.0,6793.0
36,5962.0,6313.0,6727.0,6727.0
37,5917.0,6307.0,6706.0,6706.0
38,5813.0,6266.0,6665.0,6665.0
39,5687.0,6116.0,6587.0,6587.0
40,6081.0,6456.0,6807.0,6807.0
41,6049.0,6415.0,6784.0,6784.0
42,5937.0,6384.0,6732.0,6732.0
43,5996.0,6332.0,6749.0,6749.0
44,6022.0,6397.0,6781.0,6781.0
45,6146.0,6437.0,6836.0,6836.0
46,6096.0,6462.0,6810.0,6810.0
47,5773.0,6280.0,6661.0,6661.0
48,6058.0,6418.0,6787.0,6787.0
49,6102.0,6474.0,6810.0,6810.0
50,6097.0,6454.0,6817.0,6817.0
51,5996.0,6335.0,6749.0,6749.0
52,6161.0,6494.0,6842.0,6842.0
53,5988.0,6387.0,6753.0,6753.0
54,6037.0,6463.0,6781.0,6781.0
55,6039.0,6417.0,6789.0,6789.0
56,5857.0,6256.0,6679.0,6679.0
57,6199.0,6508.0,6856.0,6856.0
58,5815.0,6286.0,6661.0,6661.0
59,5792.0,6236.0,6653.0,6653.0
60,6088.0,6430.0,6793.0,6793.0
61,5944.0,6370.0,6736.0,6736.0
62,6110.0,6485.0,6824.0,6824.0
63,6045.0,6381.0,6789.0,6789.0
64,5890.0,6295.0,6706.0,6706.0
65,6119.0,6458.0,6830.0,6830.0
66,5986.0,6349.0,6745.0,6745.0
67,6131.0,6443.0,6824.0,6824.0
68,6227.0,6515.0,6866.0,6866.0
69,6095.0,6428.0,6806.0,6806.0
70,6022.0,6397.0,6778.0,6778.0
71,5972.0,6341.0,6740.0,6740.0
72,5903.0,6320.0,6707.0,6707.0
73,5946.0,6312.0,6729.0,6729.0
74,5932.0,6298.0,6718.0,6718.0
75,6031.0,6364.0,6775.0,6775.0
76,6010.0,6349.0,6769.0,6769.0
77,6029.0,6416.0,6785.0,6785.0
78,6102.0,6399.0,6792.0,6792.0
79,6150.0,6483.0,6837.0,6837.0
80,5898.0,6288.0,6708.0,6708.0
81,5985.0,6363.0,6753.0,6753.0
82,6050.0,6407.0,6782.0,6782.0
83,5968.0,6334.0,6736.0,6736.0
84,5826.0,6270.0,6669.0,6669.0
85,5980.0,6391.0,6748.0,6748.0
86,5867.0,6350.0,6695.0,6695.0
87,6137.0,6506.0,6824.0,6824.0
88,6147.0,6417.0,6816.0,6816.0
89,6016.0,6409.0,6766.0,6766.0
90,6160.0,6490.0,6832.0,6832.0
91,5925.0,6363.0,6720.0,6720.0
92,5937.0,6321.0,6714.0,6714.0
93,6092.0,6413.0,6794.0,6794.0
94,5941.0,6382.0,6736.0,6736.0
95,6013.0,6367.0,6760.0,6760.0
96,6141.0,6501.0,6828.0,6828.0
97,5810.0,6203.0,6659.0,6659.0
98,5861.0,6305.0,6680.0,6680.0
99,6238.0,6481.0,6880.0,6880.0
100,6012.9,6383.79,6763.44,6763.44
