,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,1806.0,1896.0,2034.0,2034.0
1,1923.0,2037.0,2103.0,2103.0
2,1900.0,2002.0,2083.0,2083.0
3,1878.0,2019.0,2082.0,2082.0
4,1948.0,2041.0,2209.0,2209.0
5,1959.0,2049.0,2214.0,2214.0
6,1833.0,1950.0,2058.0,2058.0
7,1914.0,2019.0,2193.0,2193.0
8,1846.0,1954.0,2062.0,2062.0
9,1969.0,2059.0,2221.0,2221.0
10,1872.0,2007.0,2169.0,2169.0
11,1919.0,2003.0,2096.0,2096.0
12,1879.0,1990.0,2083.0,2083.0
13,1869.0,2007.0,2073.0,2073.0
14,1902.0,1992.0,2085.0,2085.0
15,1870.0,1981.0,2068.0,2068.0
16,1849.0,1951.0,2059.0,2059.0
17,1914.0,2019.0,2187.0,2187.0
18,1900.0,2017.0,2098.0,2098.0
19,1842.0,1986.0,2067.0,2067.0
20,1848.0,1971.0,2061.0,2061.0
21,1744.0,1873.0,2011.0,2011.0
22,1920.0,2022.0,2100.0,2100.0
23,1959.0,2070.0,2211.0,2211.0
24,1921.0,2026.0,2098.0,2098.0
25,1864.0,1975.0,2074.0,2074.0
26,1900.0,2020.0,2095.0,2095.0
27,1920.0,2028.0,2196.0,2196.0
28,1913.0,2009.0,2099.0,2099.0
29,1865.0,1973.0,2072.0,2072.0
30,1835.0,2000.0,2063.0,2063.0
31,1964.0,2048.0,2216.0,2216.0
32,1893.0,2010.0,2091.0,2091.0
33,1856.0,2003.0,2069.0,2069.0
34,1981.0,2074.0,2224.0,2224.0
35,1885.0,1984.0,2086.0,2086.0
36,1860.0,1980.0,2073.0,2073.0
37,1899.0,2007.0,2088.0,2088.0
38,1929.0,2013.0,2106.0,2106.0
39,1870.0,2014.0,2080.0,2080.0
40,1840.0,1951.0,2065.0,2065.0
41,1880.0,1976.0,2072.0,2072.0
42,1784.0,1943.0,2033.0,2033.0
43,1971.0,2049.0,2124.0,2124.0
44,1883.0,1997.0,2081.0,2081.0
45,1758.0,1869.0,2016.0,2016.0
46,1888.0,2023.0,2089.0,2089.0
47,1882.0,1951.0,2083.0,2083.0
48,1989.0,2091.0,2232.0,2232.0
49,1862.0,2000.0,2069.0,2069.0
50,1868.0,1985.0,2069.0,2069.0
51,1865.0,2003.0,2078.0,2078.0
52,1794.0,1890.0,2040.0,2040.0
53,1976.0,2051.0,2219.0,2219.0
54,1934.0,2036.0,2201.0,2201.0
55,1937.0,2039.0,2207.0,2207.0
56,1808.0,1970.0,2051.0,2051.0
57,1977.0,2061.0,2220.0,2220.0
58,1805.0,1958.0,2045.0,2045.0
59,1782.0,1914.0,2031.0,2031.0
60,1992.0,2079.0,2229.0,2229.0
61,1862.0,1946.0,2066.0,2066.0
62,1899.0,2004.0,2088.0,2088.0
63,1696.0,1888.0,1981.0,1981.0
64,1922.0,2030.0,2105.0,2105.0
65,1841.0,1958.0,2063.0,2063.0
66,1867.0,1963.0,2074.0,2074.0
67,1966.0,2026.0,2116.0,2116.0
68,1781.0,1928.0,2030.0,2030.0
69,1844.0,1925.0,2063.0,2063.0
70,1818.0,1956.0,2055.0,2055.0
71,1934.0,2027.0,2195.0,2195.0
72,1862.0,1946.0,2063.0,2063.0
73,1861.0,1984.0,2068.0,2068.0
74,1878.0,1968.0,2070.0,2070.0
75,1895.0,1967.0,2087.0,2087.0
76,1850.0,1955.0,2069.0,2069.0
77,1834.0,1978.0,2056.0,2056.0
78,1800.0,1923.0,2037.0,2037.0
79,1931.0,2009.0,2096.0,2096.0
80,1831.0,1966.0,2149.0,2149.0
81,1855.0,1966.0,2074.0,2074.0
82,1856.0,1949.0,2066.0,2066.0
83,1675.0,1828.0,1975.0,1975.0
84,1956.0,2055.0,2208.0,2208.0
85,1800.0,1932.0,2034.0,2034.0
86,1765.0,1918.0,2020.0,2020.0
87,1846.0,1972.0,2068.0,2068.0
88,1874.0,2003.0,2081.0,2081.0
89,1895.0,1988.0,2081.0,2081.0
90,1851.0,1974.0,2064.0,2064.0
91,1904.0,1976.0,2087.0,2087.0
92,1996.0,2086.0,2227.0,2227.0
93,1939.0,2023.0,2116.0,2116.0
94,1954.0,2053.0,2119.0,2119.0
95,1821.0,1941.0,2052.0,2052.0
96,1811.0,1991.0,2051.0,2051.0
97,1878.0,1980.0,2079.0,2079.0
98,1945.0,2032.0,2107.0,2107.0
99,1838.0,1985.0,2060.0,2060.0
100,1877.24,1989.14,2097.11,2097.11
