,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0,283.0,283.0,319.0,283.0
1,252.0,276.0,282.0,252.0
2,340.0,340.0,349.0,340.0
3,298.0,310.0,325.0,298.0
4,285.0,291.0,318.0,285.0
5,290.0,293.0,323.0,290.0
6,301.0,319.0,328.0,301.0
7,322.0,331.0,340.0,322.0
8,251.0,269.0,281.0,251.0
9,275.0,284.0,296.0,275.0
10,315.0,327.0,336.0,315.0
11,296.0,305.0,329.0,296.0
12,265.0,268.0,289.0,265.0
13,314.0,314.0,335.0,314.0
14,310.0,322.0,334.0,310.0
15,294.0,309.0,327.0,294.0
16,289.0,310.0,322.0,289.0
17,308.0,317.0,332.0,308.0
18,317.0,317.0,338.0,317.0
19,303.0,306.0,327.0,303.0
20,296.0,308.0,323.0,296.0
21,335.0,335.0,347.0,335.0
22,323.0,326.0,341.0,323.0
23,309.0,312.0,333.0,309.0
24,318.0,324.0,339.0,318.0
25,340.0,340.0,349.0,340.0
26,293.0,305.0,326.0,293.0
27,330.0,336.0,345.0,330.0
28,294.0,303.0,327.0,294.0
29,283.0,286.0,319.0,283.0
30,259.0,295.0,304.0,259.0
31,322.0,328.0,340.0,322.0
32,323.0,329.0,341.0,323.0
33,283.0,286.0,316.0,283.0
34,298.0,316.0,328.0,298.0
35,299.0,314.0,329.0,299.0
36,274.0,280.0,292.0,274.0
37,302.0,302.0,326.0,302.0
38,314.0,314.0,335.0,314.0
39,290.0,311.0,326.0,290.0
40,309.0,315.0,330.0,309.0
41,296.0,305.0,326.0,296.0
42,317.0,323.0,338.0,317.0
43,320.0,326.0,338.0,320.0
44,312.0,318.0,333.0,312.0
45,289.0,304.0,322.0,289.0
46,303.0,318.0,330.0,303.0
47,310.0,316.0,331.0,310.0
48,329.0,335.0,344.0,329.0
49,265.0,277.0,289.0,265.0
50,309.0,321.0,333.0,309.0
51,258.0,270.0,285.0,258.0
52,195.0,213.0,231.0,195.0
53,275.0,278.0,293.0,275.0
54,294.0,309.0,324.0,294.0
55,298.0,301.0,328.0,298.0
56,336.0,339.0,348.0,336.0
57,247.0,256.0,280.0,247.0
58,304.0,310.0,325.0,304.0
59,321.0,327.0,339.0,321.0
60,297.0,309.0,327.0,297.0
61,306.0,315.0,330.0,306.0
62,267.0,279.0,291.0,267.0
63,284.0,305.0,320.0,284.0
64,332.0,335.0,344.0,332.0
65,261.0,285.0,288.0,261.0
66,322.0,322.0,343.0,322.0
67,249.0,255.0,285.0,249.0
68,239.0,254.0,275.0,239.0
69,291.0,303.0,321.0,291.0
70,319.0,328.0,340.0,319.0
71,296.0,305.0,326.0,296.0
72,281.0,293.0,317.0,281.0
73,262.0,292.0,307.0,262.0
74,286.0,316.0,322.0,286.0
75,307.0,319.0,331.0,307.0
76,290.0,314.0,323.0,290.0
77,281.0,302.0,317.0,281.0
78,307.0,313.0,331.0,307.0
79,296.0,308.0,326.0,296.0
80,281.0,302.0,317.0,281.0
81,306.0,318.0,330.0,306.0
82,319.0,331.0,340.0,319.0
83,260.0,263.0,287.0,260.0
84,307.0,322.0,331.0,307.0
85,310.0,316.0,331.0,310.0
86,264.0,285.0,288.0,264.0
87,298.0,313.0,328.0,298.0
88,289.0,310.0,322.0,289.0
89,296.0,308.0,326.0,296.0
90,319.0,328.0,337.0,319.0
91,303.0,321.0,330.0,303.0
92,291.0,300.0,321.0,291.0
93,235.0,265.0,274.0,235.0
94,306.0,318.0,330.0,306.0
95,329.0,335.0,344.0,329.0
96,308.0,314.0,329.0,308.0
97,315.0,321.0,336.0,315.0
98,337.0,337.0,346.0,337.0
99,312.0,324.0,336.0,312.0
100,296.38,306.85,322.3,296.38
