,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,5054.0,5432.0,5768.0,5768.0
1,5078.0,5450.0,5786.0,5786.0
2,5117.0,5465.0,5807.0,5807.0
3,4957.0,5404.0,5719.0,5719.0
4,4969.0,5287.0,5725.0,5725.0
5,4960.0,5326.0,5722.0,5722.0
6,5140.0,5404.0,5806.0,5806.0
7,5287.0,5581.0,5884.0,5884.0
8,4990.0,5407.0,5740.0,5740.0
9,5112.0,5436.0,5802.0,5802.0
10,4917.0,5325.0,5703.0,5703.0
11,5152.0,5428.0,5827.0,5827.0
12,5009.0,5294.0,5741.0,5741.0
13,4958.0,5333.0,5723.0,5723.0
14,5233.0,5551.0,5869.0,5869.0
15,4973.0,5336.0,5726.0,5726.0
16,5062.0,5410.0,5776.0,5776.0
17,5123.0,5414.0,5807.0,5807.0
18,5055.0,5373.0,5763.0,5763.0
19,4987.0,5392.0,5737.0,5737.0
20,5137.0,5494.0,5815.0,5815.0
21,5177.0,5480.0,5825.0,5825.0
22,5314.0,5542.0,5887.0,5887.0
23,5191.0,5488.0,5842.0,5842.0
24,4813.0,5287.0,5647.0,5647.0
25,4965.0,5349.0,5733.0,5733.0
26,4878.0,5259.0,5676.0,5676.0
27,5179.0,5479.0,5830.0,5830.0
28,5245.0,5548.0,5878.0,5878.0
29,5059.0,5434.0,5773.0,5773.0
30,4993.0,5329.0,5728.0,5728.0
31,5114.0,5381.0,5792.0,5792.0
32,5199.0,5466.0,5844.0,5844.0
33,4920.0,5280.0,5703.0,5703.0
34,4837.0,5239.0,5656.0,5656.0
35,4957.0,5281.0,5722.0,5722.0
36,5081.0,5405.0,5786.0,5786.0
37,5158.0,5434.0,5818.0,5818.0
38,5237.0,5486.0,5852.0,5852.0
39,5013.0,5334.0,5745.0,5745.0
40,4938.0,5358.0,5712.0,5712.0
41,4996.0,5302.0,5737.0,5737.0
42,4976.0,5312.0,5732.0,5732.0
43,4892.0,5273.0,5693.0,5693.0
44,5064.0,5421.0,5775.0,5775.0
45,5017.0,5377.0,5758.0,5758.0
46,5123.0,5435.0,5804.0,5804.0
47,5223.0,5469.0,5847.0,5847.0
48,5061.0,5397.0,5781.0,5781.0
49,5165.0,5438.0,5819.0,5819.0
50,5190.0,5475.0,5838.0,5838.0
51,5053.0,5404.0,5770.0,5770.0
52,5058.0,5427.0,5763.0,5763.0
53,5024.0,5354.0,5747.0,5747.0
54,5073.0,5370.0,5775.0,5775.0
55,4994.0,5312.0,5750.0,5750.0
56,5014.0,5320.0,5746.0,5746.0
57,5145.0,5484.0,5823.0,5823.0
58,5038.0,5383.0,5761.0,5761.0
59,5295.0,5523.0,5880.0,5880.0
60,5005.0,5380.0,5752.0,5752.0
61,5127.0,5493.0,5811.0,5811.0
62,5297.0,5585.0,5894.0,5894.0
63,5044.0,5392.0,5758.0,5758.0
64,4950.0,5286.0,5709.0,5709.0
65,5175.0,5454.0,5823.0,5823.0
66,5106.0,5397.0,5787.0,5787.0
67,4987.0,5338.0,5743.0,5743.0
68,5122.0,5509.0,5809.0,5809.0
69,5233.0,5527.0,5857.0,5857.0
70,5041.0,5401.0,5770.0,5770.0
71,4795.0,5200.0,5638.0,5638.0
72,5230.0,5491.0,5866.0,5866.0
73,5087.0,5351.0,5780.0,5780.0
74,4950.0,5331.0,5724.0,5724.0
75,5134.0,5428.0,5806.0,5806.0
76,5030.0,5387.0,5759.0,5759.0
77,5147.0,5504.0,5816.0,5816.0
78,5210.0,5444.0,5831.0,5831.0
79,5074.0,5455.0,5785.0,5785.0
80,5145.0,5457.0,5811.0,5811.0
81,5068.0,5413.0,5782.0,5782.0
82,5058.0,5415.0,5766.0,5766.0
83,5174.0,5492.0,5825.0,5825.0
84,5127.0,5439.0,5811.0,5811.0
85,5132.0,5495.0,5813.0,5813.0
86,4968.0,5334.0,5721.0,5721.0
87,5149.0,5434.0,5812.0,5812.0
88,5190.0,5469.0,5841.0,5841.0
89,5150.0,5402.0,5804.0,5804.0
90,5161.0,5485.0,5821.0,5821.0
91,5019.0,5364.0,5748.0,5748.0
92,5078.0,5414.0,5774.0,5774.0
93,5099.0,5411.0,5795.0,5795.0
94,5053.0,5431.0,5770.0,5770.0
95,5204.0,5465.0,5831.0,5831.0
96,5107.0,5407.0,5803.0,5803.0
97,5062.0,5386.0,5776.0,5776.0
98,5019.0,5415.0,5763.0,5763.0
99,5012.0,5384.0,5753.0,5753.0
100,5076.58,5407.42,5780.32,5780.32
