,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
1,3071.0,3290.0,3464.0,3464.0
2,3023.0,3296.0,3455.0,3455.0
3,3024.0,3207.0,3435.0,3435.0
4,2997.0,3264.0,3432.0,3432.0
5,2856.0,3123.0,3348.0,3348.0
6,3097.0,3310.0,3481.0,3481.0
7,3197.0,3332.0,3704.0,3704.0
8,3177.0,3348.0,3702.0,3702.0
9,2974.0,3145.0,3406.0,3406.0
10,2951.0,3191.0,3398.0,3398.0
11,3114.0,3315.0,3489.0,3489.0
12,3072.0,3312.0,3471.0,3471.0
13,3251.0,3398.0,3734.0,3734.0
14,3100.0,3307.0,3466.0,3466.0
15,2947.0,3160.0,3400.0,3400.0
16,3042.0,3300.0,3639.0,3639.0
17,2990.0,3248.0,3425.0,3425.0
18,2955.0,3210.0,3411.0,3411.0
19,3137.0,3305.0,3491.0,3491.0
20,3005.0,3245.0,3428.0,3428.0
21,3019.0,3274.0,3445.0,3445.0
22,3103.0,3316.0,3667.0,3667.0
23,3125.0,3308.0,3485.0,3485.0
24,3022.0,3178.0,3427.0,3427.0
25,2892.0,3159.0,3375.0,3375.0
26,3095.0,3320.0,3479.0,3479.0
27,2994.0,3240.0,3426.0,3426.0
28,3014.0,3248.0,3443.0,3443.0
29,3117.0,3291.0,3669.0,3669.0
30,2983.0,3235.0,3421.0,3421.0
31,3077.0,3260.0,3461.0,3461.0
32,3203.0,3371.0,3710.0,3710.0
33,3138.0,3360.0,3687.0,3687.0
34,3109.0,3289.0,3484.0,3484.0
35,3007.0,3250.0,3433.0,3433.0
36,3067.0,3298.0,3469.0,3469.0
37,3119.0,3317.0,3491.0,3491.0
38,3039.0,3237.0,3444.0,3444.0
39,3116.0,3350.0,3668.0,3668.0
40,3014.0,3245.0,3428.0,3428.0
41,3165.0,3378.0,3693.0,3693.0
42,3048.0,3291.0,3639.0,3639.0
43,3149.0,3335.0,3683.0,3683.0
44,3086.0,3317.0,3659.0,3659.0
45,3021.0,3267.0,3444.0,3444.0
46,3130.0,3343.0,3682.0,3682.0
47,3215.0,3386.0,3713.0,3713.0
48,3055.0,3259.0,3463.0,3463.0
49,2967.0,3249.0,3417.0,3417.0
50,3013.0,3250.0,3430.0,3430.0
51,2978.0,3227.0,3413.0,3413.0
52,3254.0,3377.0,3728.0,3728.0
53,3102.0,3321.0,3492.0,3492.0
54,3174.0,3381.0,3693.0,3693.0
55,3169.0,3370.0,3694.0,3694.0
56,3192.0,3411.0,3711.0,3711.0
57,3097.0,3328.0,3478.0,3478.0
58,3132.0,3321.0,3498.0,3498.0
59,3092.0,3326.0,3665.0,3665.0
60,3050.0,3278.0,3458.0,3458.0
61,3067.0,3271.0,3463.0,3463.0
62,3132.0,3303.0,3501.0,3501.0
63,2965.0,3163.0,3412.0,3412.0
64,3135.0,3330.0,3672.0,3672.0
65,3123.0,3312.0,3672.0,3672.0
66,3127.0,3373.0,3679.0,3679.0
67,3081.0,3288.0,3474.0,3474.0
68,3142.0,3343.0,3685.0,3685.0
69,2921.0,3176.0,3389.0,3389.0
70,3030.0,3234.0,3441.0,3441.0
71,3207.0,3423.0,3717.0,3717.0
72,3034.0,3286.0,3445.0,3445.0
73,3118.0,3274.0,3490.0,3490.0
74,3152.0,3332.0,3500.0,3500.0
75,3137.0,3311.0,3683.0,3683.0
76,2840.0,3155.0,3350.0,3350.0
77,3173.0,3374.0,3698.0,3698.0
78,3060.0,3303.0,3471.0,3471.0
79,3069.0,3243.0,3654.0,3654.0
80,3159.0,3357.0,3696.0,3696.0
81,3180.0,3390.0,3699.0,3699.0
82,3044.0,3266.0,3449.0,3449.0
83,2933.0,3212.0,3392.0,3392.0
84,3037.0,3253.0,3454.0,3454.0
85,2991.0,3252.0,3429.0,3429.0
86,3107.0,3305.0,3494.0,3494.0
87,3029.0,3209.0,3446.0,3446.0
88,3061.0,3247.0,3457.0,3457.0
89,3188.0,3389.0,3713.0,3713.0
90,3202.0,3409.0,3709.0,3709.0
91,3063.0,3252.0,3459.0,3459.0
92,3117.0,3342.0,3669.0,3669.0
93,2956.0,3214.0,3406.0,3406.0
94,3131.0,3329.0,3683.0,3683.0
95,3000.0,3234.0,3426.0,3426.0
96,3070.0,3295.0,3466.0,3466.0
97,3139.0,3289.0,3499.0,3499.0
98,3115.0,3358.0,3676.0,3676.0
99,3047.0,3320.0,3464.0,3464.0
100,3074.34,3289.35,3530.76,3530.76
