,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0,684.0,702.0,759.0,684.0
1,647.0,686.0,746.0,647.0
2,706.0,721.0,778.0,706.0
3,721.0,751.0,781.0,721.0
4,710.0,743.0,779.0,710.0
5,708.0,735.0,774.0,708.0
6,687.0,726.0,765.0,687.0
7,735.0,759.0,792.0,735.0
8,687.0,717.0,765.0,687.0
9,639.0,696.0,711.0,639.0
10,725.0,734.0,788.0,725.0
11,716.0,734.0,785.0,716.0
12,705.0,744.0,777.0,705.0
13,636.0,678.0,705.0,636.0
14,702.0,717.0,771.0,702.0
15,682.0,739.0,769.0,682.0
16,697.0,739.0,775.0,697.0
17,717.0,735.0,780.0,717.0
18,697.0,721.0,772.0,697.0
19,738.0,753.0,795.0,738.0
20,662.0,710.0,755.0,662.0
21,656.0,680.0,713.0,656.0
22,675.0,720.0,759.0,675.0
23,750.0,774.0,801.0,750.0
24,733.0,742.0,790.0,733.0
25,678.0,723.0,759.0,678.0
26,692.0,728.0,767.0,692.0
27,727.0,757.0,790.0,727.0
28,658.0,670.0,712.0,658.0
29,666.0,684.0,759.0,666.0
30,695.0,725.0,767.0,695.0
31,688.0,700.0,730.0,688.0
32,757.0,760.0,802.0,757.0
33,733.0,754.0,787.0,733.0
34,709.0,724.0,775.0,709.0
35,646.0,682.0,712.0,646.0
36,748.0,778.0,802.0,748.0
37,768.0,786.0,810.0,768.0
38,686.0,716.0,767.0,686.0
39,752.0,761.0,797.0,752.0
40,677.0,686.0,761.0,677.0
41,726.0,756.0,786.0,726.0
42,684.0,696.0,762.0,684.0
43,694.0,730.0,769.0,694.0
44,726.0,756.0,786.0,726.0
45,694.0,712.0,772.0,694.0
46,698.0,737.0,773.0,698.0
47,652.0,673.0,718.0,652.0
48,753.0,759.0,798.0,753.0
49,672.0,711.0,759.0,672.0
50,711.0,735.0,777.0,711.0
51,662.0,686.0,719.0,662.0
52,656.0,686.0,713.0,656.0
53,723.0,765.0,786.0,723.0
54,655.0,715.0,751.0,655.0
55,678.0,711.0,762.0,678.0
56,737.0,743.0,788.0,737.0
57,703.0,727.0,772.0,703.0
58,669.0,690.0,723.0,669.0
59,740.0,758.0,794.0,740.0
60,669.0,705.0,756.0,669.0
61,691.0,739.0,769.0,691.0
62,720.0,738.0,783.0,720.0
63,726.0,741.0,786.0,726.0
64,770.0,782.0,806.0,770.0
65,601.0,658.0,682.0,601.0
66,618.0,651.0,696.0,618.0
67,764.0,782.0,806.0,764.0
68,726.0,741.0,783.0,726.0
69,686.0,722.0,761.0,686.0
70,770.0,776.0,809.0,770.0
71,674.0,713.0,755.0,674.0
72,736.0,757.0,793.0,736.0
73,724.0,766.0,790.0,724.0
74,704.0,731.0,776.0,704.0
75,685.0,733.0,766.0,685.0
76,675.0,720.0,756.0,675.0
77,630.0,657.0,702.0,630.0
78,661.0,697.0,751.0,661.0
79,686.0,719.0,764.0,686.0
80,657.0,684.0,717.0,657.0
81,734.0,755.0,791.0,734.0
82,652.0,688.0,715.0,652.0
83,732.0,768.0,792.0,732.0
84,629.0,668.0,698.0,629.0
85,721.0,748.0,784.0,721.0
86,709.0,742.0,775.0,709.0
87,721.0,760.0,787.0,721.0
88,645.0,690.0,714.0,645.0
89,675.0,726.0,759.0,675.0
90,719.0,752.0,785.0,719.0
91,765.0,777.0,807.0,765.0
92,745.0,763.0,796.0,745.0
93,736.0,751.0,793.0,736.0
94,702.0,735.0,774.0,702.0
95,714.0,732.0,780.0,714.0
96,638.0,692.0,710.0,638.0
97,750.0,762.0,795.0,750.0
98,715.0,748.0,778.0,715.0
99,747.0,759.0,798.0,747.0
100,699.5,727.64,766.28,699.5
