,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,3176.0,3386.0,3566.0,3566.0
1,3222.0,3402.0,3588.0,3588.0
2,3198.0,3384.0,3576.0,3576.0
3,3217.0,3412.0,3595.0,3595.0
4,3205.0,3355.0,3592.0,3592.0
5,3260.0,3437.0,3608.0,3608.0
6,3149.0,3344.0,3548.0,3548.0
7,3282.0,3480.0,3633.0,3633.0
8,3198.0,3384.0,3573.0,3573.0
9,3158.0,3401.0,3557.0,3557.0
10,3172.0,3415.0,3571.0,3571.0
11,3089.0,3293.0,3515.0,3515.0
12,3161.0,3305.0,3560.0,3560.0
13,3115.0,3337.0,3535.0,3535.0
14,3050.0,3299.0,3500.0,3500.0
15,3169.0,3385.0,3571.0,3571.0
16,3132.0,3387.0,3552.0,3552.0
17,3200.0,3425.0,3590.0,3590.0
18,3199.0,3373.0,3580.0,3580.0
19,3172.0,3397.0,3565.0,3565.0
20,3285.0,3462.0,3621.0,3621.0
21,3119.0,3338.0,3548.0,3548.0
22,3103.0,3355.0,3541.0,3541.0
23,3175.0,3391.0,3565.0,3565.0
24,3241.0,3412.0,3601.0,3601.0
25,3251.0,3428.0,3608.0,3608.0
26,3196.0,3394.0,3580.0,3580.0
27,3209.0,3404.0,3590.0,3590.0
28,3134.0,3350.0,3548.0,3548.0
29,3173.0,3401.0,3572.0,3572.0
30,3076.0,3334.0,3517.0,3517.0
31,3208.0,3415.0,3586.0,3586.0
32,3287.0,3452.0,3794.0,3794.0
33,3147.0,3393.0,3558.0,3558.0
34,3340.0,3490.0,3658.0,3658.0
35,3176.0,3380.0,3569.0,3569.0
36,3144.0,3396.0,3555.0,3555.0
37,3154.0,3415.0,3568.0,3568.0
38,3109.0,3361.0,3532.0,3532.0
39,3214.0,3409.0,3586.0,3586.0
40,3255.0,3414.0,3600.0,3600.0
41,3209.0,3422.0,3587.0,3587.0
42,3076.0,3334.0,3520.0,3520.0
43,3112.0,3358.0,3544.0,3544.0
44,3222.0,3408.0,3600.0,3600.0
45,3183.0,3387.0,3570.0,3570.0
46,3341.0,3488.0,3644.0,3644.0
47,3087.0,3291.0,3522.0,3522.0
48,3184.0,3379.0,3568.0,3568.0
49,2968.0,3295.0,3466.0,3466.0
50,3193.0,3388.0,3580.0,3580.0
51,3234.0,3414.0,3600.0,3600.0
52,3122.0,3374.0,3545.0,3545.0
53,3304.0,3496.0,3637.0,3637.0
54,3284.0,3437.0,3632.0,3632.0
55,3211.0,3442.0,3592.0,3592.0
56,3279.0,3447.0,3621.0,3621.0
57,3083.0,3377.0,3527.0,3527.0
58,3368.0,3506.0,3842.0,3842.0
59,3052.0,3274.0,3505.0,3505.0
60,3081.0,3300.0,3516.0,3516.0
61,3205.0,3448.0,3586.0,3586.0
62,3103.0,3319.0,3532.0,3532.0
63,3156.0,3390.0,3567.0,3567.0
64,3204.0,3429.0,3582.0,3582.0
65,3031.0,3310.0,3496.0,3496.0
66,3284.0,3455.0,3623.0,3623.0
67,3184.0,3424.0,3577.0,3577.0
68,3094.0,3340.0,3532.0,3532.0
69,3128.0,3329.0,3545.0,3545.0
70,3105.0,3345.0,3534.0,3534.0
71,3157.0,3394.0,3559.0,3559.0
72,3217.0,3409.0,3589.0,3589.0
73,3087.0,3330.0,3537.0,3537.0
74,3299.0,3494.0,3644.0,3644.0
75,3318.0,3477.0,3642.0,3642.0
76,2905.0,3157.0,3427.0,3427.0
77,3229.0,3427.0,3604.0,3604.0
78,3092.0,3338.0,3527.0,3527.0
79,3172.0,3322.0,3565.0,3565.0
80,3241.0,3439.0,3604.0,3604.0
81,3307.0,3502.0,3643.0,3643.0
82,3208.0,3415.0,3595.0,3595.0
83,3254.0,3440.0,3605.0,3605.0
84,3229.0,3463.0,3607.0,3607.0
85,3140.0,3380.0,3548.0,3548.0
86,3113.0,3302.0,3530.0,3530.0
87,3309.0,3489.0,3633.0,3633.0
88,3243.0,3426.0,3609.0,3609.0
89,3200.0,3446.0,3587.0,3587.0
90,3113.0,3359.0,3539.0,3539.0
91,3144.0,3357.0,3558.0,3558.0
92,3163.0,3373.0,3568.0,3568.0
93,2996.0,3299.0,3482.0,3482.0
94,3217.0,3403.0,3592.0,3592.0
95,3235.0,3460.0,3604.0,3604.0
96,3217.0,3394.0,3592.0,3592.0
97,3070.0,3361.0,3520.0,3520.0
98,3078.0,3315.0,3516.0,3516.0
99,3255.0,3438.0,3615.0,3615.0
100,3178.15,3390.1,3575.05,3575.05
