,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0,1417.0,1534.0,1624.0,1417.0
1,1452.0,1548.0,1644.0,1452.0
2,1471.0,1567.0,1651.0,1471.0
3,1454.0,1556.0,1637.0,1454.0
4,1534.0,1597.0,1687.0,1534.0
5,1418.0,1478.0,1619.0,1418.0
6,1429.0,1525.0,1627.0,1429.0
7,1429.0,1519.0,1633.0,1429.0
8,1506.0,1599.0,1671.0,1506.0
9,1564.0,1639.0,1783.0,1564.0
10,1471.0,1552.0,1651.0,1471.0
11,1515.0,1593.0,1668.0,1515.0
12,1368.0,1494.0,1602.0,1368.0
13,1386.0,1521.0,1608.0,1386.0
14,1421.0,1517.0,1625.0,1421.0
15,1545.0,1635.0,1695.0,1545.0
16,1484.0,1571.0,1664.0,1484.0
17,1533.0,1608.0,1686.0,1533.0
18,1419.0,1533.0,1629.0,1419.0
19,1466.0,1580.0,1652.0,1466.0
20,1467.0,1530.0,1647.0,1467.0
21,1530.0,1602.0,1680.0,1530.0
22,1551.0,1620.0,1698.0,1551.0
23,1435.0,1510.0,1627.0,1435.0
24,1540.0,1621.0,1687.0,1540.0
25,1511.0,1574.0,1670.0,1511.0
26,1556.0,1601.0,1691.0,1556.0
27,1452.0,1563.0,1641.0,1452.0
28,1491.0,1566.0,1662.0,1491.0
29,1515.0,1608.0,1680.0,1515.0
30,1426.0,1558.0,1633.0,1426.0
31,1462.0,1561.0,1645.0,1462.0
32,1426.0,1522.0,1627.0,1426.0
33,1433.0,1520.0,1634.0,1433.0
34,1451.0,1553.0,1643.0,1451.0
35,1508.0,1574.0,1670.0,1508.0
36,1505.0,1571.0,1667.0,1505.0
37,1484.0,1541.0,1658.0,1484.0
38,1476.0,1569.0,1656.0,1476.0
39,1493.0,1556.0,1664.0,1493.0
40,1490.0,1601.0,1667.0,1490.0
41,1416.0,1563.0,1632.0,1416.0
42,1425.0,1521.0,1623.0,1425.0
43,1387.0,1489.0,1612.0,1387.0
44,1372.0,1525.0,1603.0,1372.0
45,1592.0,1625.0,1712.0,1592.0
46,1551.0,1617.0,1692.0,1551.0
47,1545.0,1617.0,1689.0,1545.0
48,1533.0,1584.0,1680.0,1533.0
49,1473.0,1578.0,1659.0,1473.0
50,1498.0,1588.0,1669.0,1498.0
51,1488.0,1566.0,1653.0,1488.0
52,1557.0,1629.0,1701.0,1557.0
53,1469.0,1580.0,1649.0,1469.0
54,1577.0,1625.0,1703.0,1577.0
55,1327.0,1435.0,1582.0,1327.0
56,1488.0,1560.0,1656.0,1488.0
57,1442.0,1526.0,1637.0,1442.0
58,1431.0,1566.0,1638.0,1431.0
59,1418.0,1517.0,1619.0,1418.0
60,1538.0,1601.0,1682.0,1538.0
61,1490.0,1559.0,1658.0,1490.0
62,1466.0,1568.0,1649.0,1466.0
63,1481.0,1595.0,1658.0,1481.0
64,1422.0,1503.0,1626.0,1422.0
65,1516.0,1579.0,1669.0,1516.0
66,1425.0,1536.0,1629.0,1425.0
67,1510.0,1588.0,1675.0,1510.0
68,1504.0,1588.0,1669.0,1504.0
69,1420.0,1543.0,1630.0,1420.0
70,1396.0,1507.0,1618.0,1396.0
71,1541.0,1601.0,1685.0,1541.0
72,1465.0,1567.0,1651.0,1465.0
73,1395.0,1506.0,1611.0,1395.0
74,1564.0,1642.0,1705.0,1564.0
75,1461.0,1548.0,1647.0,1461.0
76,1572.0,1647.0,1707.0,1572.0
77,1379.0,1514.0,1604.0,1379.0
78,1495.0,1570.0,1663.0,1495.0
79,1459.0,1549.0,1642.0,1459.0
80,1502.0,1571.0,1664.0,1502.0
81,1486.0,1546.0,1654.0,1486.0
82,1359.0,1494.0,1593.0,1359.0
83,1432.0,1555.0,1633.0,1432.0
84,1525.0,1600.0,1678.0,1525.0
85,1465.0,1555.0,1651.0,1465.0
86,1429.0,1525.0,1627.0,1429.0
87,1519.0,1594.0,1678.0,1519.0
88,1481.0,1583.0,1661.0,1481.0
89,1354.0,1453.0,1591.0,1354.0
90,1505.0,1601.0,1670.0,1505.0
91,1509.0,1608.0,1674.0,1509.0
92,1446.0,1554.0,1638.0,1446.0
93,1513.0,1573.0,1672.0,1513.0
94,1468.0,1516.0,1654.0,1468.0
95,1470.0,1521.0,1647.0,1470.0
96,1415.0,1538.0,1628.0,1415.0
97,1405.0,1522.0,1615.0,1405.0
98,1447.0,1555.0,1645.0,1447.0
99,1417.0,1549.0,1621.0,1417.0
100,1471.19,1561.22,1652.84,1471.19
