,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0,998.0,1055.0,1097.0,998.0
1,1050.0,1092.0,1170.0,1050.0
2,1054.0,1105.0,1174.0,1054.0
3,1049.0,1097.0,1169.0,1049.0
4,1062.0,1101.0,1176.0,1062.0
5,1042.0,1072.0,1117.0,1042.0
6,1080.0,1113.0,1188.0,1080.0
7,980.0,1046.0,1085.0,980.0
8,968.0,1055.0,1082.0,968.0
9,1021.0,1066.0,1105.0,1021.0
10,1021.0,1084.0,1159.0,1021.0
11,1094.0,1112.0,1187.0,1094.0
12,1060.0,1093.0,1126.0,1060.0
13,1034.0,1082.0,1166.0,1034.0
14,1042.0,1105.0,1168.0,1042.0
15,1031.0,1064.0,1115.0,1031.0
16,945.0,1008.0,1068.0,945.0
17,1085.0,1115.0,1187.0,1085.0
18,997.0,1048.0,1093.0,997.0
19,910.0,994.0,1048.0,910.0
20,1084.0,1102.0,1189.0,1084.0
21,990.0,1068.0,1092.0,990.0
22,1093.0,1117.0,1189.0,1093.0
23,1042.0,1102.0,1168.0,1042.0
24,1061.0,1100.0,1175.0,1061.0
25,989.0,1037.0,1091.0,989.0
26,1070.0,1115.0,1181.0,1070.0
27,934.0,1006.0,1063.0,934.0
28,1000.0,1039.0,1096.0,1000.0
29,1061.0,1112.0,1178.0,1061.0
30,1073.0,1109.0,1187.0,1073.0
31,1072.0,1108.0,1183.0,1072.0
32,1057.0,1087.0,1174.0,1057.0
33,1005.0,1062.0,1101.0,1005.0
34,1012.0,1054.0,1102.0,1012.0
35,986.0,1049.0,1091.0,986.0
36,953.0,1016.0,1073.0,953.0
37,1001.0,1064.0,1097.0,1001.0
38,1037.0,1097.0,1166.0,1037.0
39,1026.0,1077.0,1113.0,1026.0
40,1070.0,1121.0,1181.0,1070.0
41,965.0,1043.0,1079.0,965.0
42,1037.0,1082.0,1118.0,1037.0
43,1039.0,1081.0,1117.0,1039.0
44,1011.0,1056.0,1104.0,1011.0
45,1006.0,1057.0,1099.0,1006.0
46,1011.0,1059.0,1104.0,1011.0
47,1013.0,1064.0,1100.0,1013.0
48,1092.0,1116.0,1191.0,1092.0
49,950.0,998.0,1067.0,950.0
50,986.0,1046.0,1088.0,986.0
51,1020.0,1071.0,1107.0,1020.0
52,1051.0,1114.0,1174.0,1051.0
53,1030.0,1075.0,1159.0,1030.0
54,901.0,988.0,1045.0,901.0
55,881.0,989.0,1037.0,881.0
56,1058.0,1094.0,1130.0,1058.0
57,1043.0,1061.0,1121.0,1043.0
58,973.0,1027.0,1084.0,973.0
59,996.0,1041.0,1101.0,996.0
60,1005.0,1068.0,1143.0,1005.0
61,942.0,1017.0,1065.0,942.0
62,1018.0,1060.0,1105.0,1018.0
63,976.0,1030.0,1081.0,976.0
64,992.0,1016.0,1088.0,992.0
65,1039.0,1093.0,1165.0,1039.0
66,1013.0,1058.0,1100.0,1013.0
67,990.0,1032.0,1095.0,990.0
68,972.0,1041.0,1080.0,972.0
69,1002.0,1044.0,1098.0,1002.0
70,1000.0,1030.0,1096.0,1000.0
71,956.0,1016.0,1067.0,956.0
72,1028.0,1085.0,1118.0,1028.0
73,1056.0,1104.0,1176.0,1056.0
74,1004.0,1049.0,1097.0,1004.0
75,1043.0,1073.0,1118.0,1043.0
76,1082.0,1103.0,1190.0,1082.0
77,1019.0,1088.0,1109.0,1019.0
78,990.0,1044.0,1086.0,990.0
79,1000.0,1057.0,1099.0,1000.0
80,994.0,1045.0,1102.0,994.0
81,1060.0,1093.0,1180.0,1060.0
82,958.0,1012.0,1069.0,958.0
83,1088.0,1115.0,1190.0,1088.0
84,969.0,1047.0,1131.0,969.0
85,1018.0,1063.0,1105.0,1018.0
86,1032.0,1056.0,1113.0,1032.0
87,1039.0,1084.0,1120.0,1039.0
88,1011.0,1074.0,1101.0,1011.0
89,1013.0,1046.0,1106.0,1013.0
90,1066.0,1102.0,1183.0,1066.0
91,1042.0,1081.0,1120.0,1042.0
92,1082.0,1100.0,1187.0,1082.0
93,1036.0,1075.0,1120.0,1036.0
94,1017.0,1053.0,1098.0,1017.0
95,1047.0,1083.0,1122.0,1047.0
96,945.0,1002.0,1065.0,945.0
97,1030.0,1087.0,1162.0,1030.0
98,1078.0,1093.0,1186.0,1078.0
99,1101.0,1134.0,1197.0,1101.0
100,1019.55,1067.64,1124.28,1019.55
