,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,5241.0,5694.0,6048.0,6048.0
1,5382.0,5760.0,6102.0,6102.0
2,5527.0,5845.0,6187.0,6187.0
3,5181.0,5631.0,6012.0,6012.0
4,5412.0,5730.0,6123.0,6123.0
5,5538.0,5817.0,6186.0,6186.0
6,5381.0,5744.0,6113.0,6113.0
7,5419.0,5761.0,6133.0,6133.0
8,5523.0,5817.0,6174.0,6174.0
9,5187.0,5646.0,6021.0,6021.0
10,5431.0,5746.0,6127.0,6127.0
11,5450.0,5771.0,6143.0,6143.0
12,5274.0,5637.0,6060.0,6060.0
13,5330.0,5738.0,6092.0,6092.0
14,5344.0,5713.0,6085.0,6085.0
15,5289.0,5682.0,6069.0,6069.0
16,5248.0,5614.0,6046.0,6046.0
17,5424.0,5703.0,6129.0,6129.0
18,5350.0,5734.0,6097.0,6097.0
19,5467.0,5743.0,6142.0,6142.0
20,5484.0,5832.0,6156.0,6156.0
21,5340.0,5733.0,6099.0,6099.0
22,5530.0,5854.0,6181.0,6181.0
23,5386.0,5785.0,6118.0,6118.0
24,5411.0,5783.0,6131.0,6131.0
25,5632.0,5893.0,6244.0,6244.0
26,5430.0,5745.0,6132.0,6132.0
27,5415.0,5745.0,6120.0,6120.0
28,5251.0,5629.0,6049.0,6049.0
29,5371.0,5719.0,6112.0,6112.0
30,5310.0,5634.0,6072.0,6072.0
31,5332.0,5689.0,6094.0,6094.0
32,5339.0,5675.0,6074.0,6074.0
33,5166.0,5655.0,6003.0,6003.0
34,5375.0,5666.0,6098.0,6098.0
35,5324.0,5738.0,6098.0,6098.0
36,5234.0,5612.0,6035.0,6035.0
37,5292.0,5739.0,6069.0,6069.0
38,5547.0,5874.0,6201.0,6201.0
39,5380.0,5755.0,6115.0,6115.0
40,5178.0,5559.0,6009.0,6009.0
41,5176.0,5557.0,6019.0,6019.0
42,5467.0,5764.0,6154.0,6154.0
43,5387.0,5717.0,6107.0,6107.0
44,5565.0,5832.0,6198.0,6198.0
45,5271.0,5676.0,6048.0,6048.0
46,5387.0,5675.0,6107.0,6107.0
47,5463.0,5796.0,6162.0,6162.0
48,5385.0,5793.0,6129.0,6129.0
49,5225.0,5672.0,6035.0,6035.0
50,5341.0,5686.0,6085.0,6085.0
51,5385.0,5679.0,6102.0,6102.0
52,5560.0,5860.0,6199.0,6199.0
53,5322.0,5721.0,6081.0,6081.0
54,5452.0,5791.0,6145.0,6145.0
55,5270.0,5657.0,6050.0,6050.0
56,5343.0,5742.0,6096.0,6096.0
57,5477.0,5777.0,6155.0,6155.0
58,5491.0,5818.0,6169.0,6169.0
59,5398.0,5767.0,6115.0,6115.0
60,5524.0,5809.0,6175.0,6175.0
61,5212.0,5629.0,6022.0,6022.0
62,5284.0,5704.0,6067.0,6067.0
63,5370.0,5730.0,6105.0,6105.0
64,5448.0,5808.0,6159.0,6159.0
65,5271.0,5631.0,6054.0,6054.0
66,5290.0,5692.0,6067.0,6067.0
67,5344.0,5683.0,6082.0,6082.0
68,5322.0,5733.0,6093.0,6093.0
69,5624.0,5918.0,6230.0,6230.0
70,5183.0,5648.0,6017.0,6017.0
71,5233.0,5653.0,6037.0,6037.0
72,5474.0,5804.0,6155.0,6155.0
73,5296.0,5686.0,6070.0,6070.0
74,5456.0,5759.0,6146.0,6146.0
75,5423.0,5732.0,6128.0,6128.0
76,5586.0,5862.0,6207.0,6207.0
77,5188.0,5611.0,6022.0,6022.0
78,5133.0,5580.0,5982.0,5982.0
79,5499.0,5799.0,6177.0,6177.0
80,5423.0,5777.0,6140.0,6140.0
81,5308.0,5752.0,6085.0,6085.0
82,5342.0,5678.0,6092.0,6092.0
83,5290.0,5701.0,6061.0,6061.0
84,5450.0,5771.0,6137.0,6137.0
85,5297.0,5669.0,6071.0,6071.0
86,5415.0,5781.0,6129.0,6129.0
87,5210.0,5645.0,6035.0,6035.0
88,5397.0,5754.0,6117.0,6117.0
89,5306.0,5678.0,6071.0,6071.0
90,5481.0,5838.0,6177.0,6177.0
91,5280.0,5694.0,6069.0,6069.0
92,5518.0,5812.0,6172.0,6172.0
93,5448.0,5790.0,6153.0,6153.0
94,5459.0,5804.0,6146.0,6146.0
95,5455.0,5800.0,6148.0,6148.0
96,5391.0,5766.0,6117.0,6117.0
97,5536.0,5860.0,6196.0,6196.0
98,5348.0,5714.0,6098.0,6098.0
99,5443.0,5824.0,6145.0,6145.0
100,5374.47,5733.99,6108.09,6108.09
