,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0,1203.0,1260.0,1356.0,1203.0
1,1161.0,1224.0,1332.0,1161.0
2,1158.0,1215.0,1329.0,1158.0
3,1172.0,1241.0,1337.0,1172.0
4,1255.0,1300.0,1378.0,1255.0
5,1179.0,1272.0,1344.0,1179.0
6,1111.0,1210.0,1306.0,1111.0
7,1231.0,1291.0,1369.0,1231.0
8,1200.0,1266.0,1356.0,1200.0
9,1269.0,1308.0,1383.0,1269.0
10,1196.0,1274.0,1349.0,1196.0
11,1130.0,1214.0,1313.0,1130.0
12,1196.0,1274.0,1349.0,1196.0
13,1172.0,1244.0,1337.0,1172.0
14,1169.0,1247.0,1337.0,1169.0
15,1179.0,1224.0,1338.0,1179.0
16,1217.0,1277.0,1358.0,1217.0
17,1234.0,1300.0,1369.0,1234.0
18,1191.0,1278.0,1353.0,1191.0
19,1162.0,1249.0,1333.0,1162.0
20,1107.0,1182.0,1242.0,1107.0
21,1235.0,1295.0,1367.0,1235.0
22,1289.0,1334.0,1397.0,1289.0
23,1197.0,1269.0,1353.0,1197.0
24,1210.0,1279.0,1360.0,1210.0
25,1188.0,1248.0,1344.0,1188.0
26,1204.0,1279.0,1360.0,1204.0
27,1247.0,1301.0,1373.0,1247.0
28,1212.0,1257.0,1356.0,1212.0
29,1065.0,1119.0,1218.0,1065.0
30,1231.0,1273.0,1363.0,1231.0
31,1110.0,1185.0,1302.0,1110.0
32,1246.0,1312.0,1375.0,1246.0
33,1167.0,1245.0,1335.0,1167.0
34,1137.0,1194.0,1317.0,1137.0
35,1082.0,1154.0,1226.0,1082.0
36,1226.0,1286.0,1370.0,1226.0
37,1221.0,1266.0,1359.0,1221.0
38,1191.0,1275.0,1350.0,1191.0
39,1074.0,1164.0,1224.0,1074.0
40,1249.0,1306.0,1378.0,1249.0
41,1174.0,1240.0,1339.0,1174.0
42,1205.0,1247.0,1358.0,1205.0
43,1140.0,1254.0,1326.0,1140.0
44,1195.0,1249.0,1345.0,1195.0
45,1179.0,1260.0,1344.0,1179.0
46,1234.0,1291.0,1372.0,1234.0
47,1223.0,1295.0,1364.0,1223.0
48,1142.0,1208.0,1319.0,1142.0
49,1177.0,1255.0,1339.0,1177.0
50,1200.0,1284.0,1356.0,1200.0
51,1213.0,1294.0,1363.0,1213.0
52,1218.0,1287.0,1356.0,1218.0
53,1142.0,1250.0,1325.0,1142.0
54,1229.0,1295.0,1370.0,1229.0
55,1127.0,1205.0,1316.0,1127.0
56,1192.0,1273.0,1351.0,1192.0
57,1201.0,1249.0,1348.0,1201.0
58,1113.0,1185.0,1308.0,1113.0
59,1194.0,1233.0,1347.0,1194.0
60,1100.0,1172.0,1301.0,1100.0
61,1192.0,1240.0,1348.0,1192.0
62,1166.0,1244.0,1334.0,1166.0
63,1218.0,1266.0,1356.0,1218.0
64,1236.0,1290.0,1368.0,1236.0
65,1191.0,1254.0,1353.0,1191.0
66,1246.0,1306.0,1372.0,1246.0
67,1228.0,1294.0,1366.0,1228.0
68,1164.0,1239.0,1332.0,1164.0
69,1123.0,1165.0,1252.0,1123.0
70,1206.0,1272.0,1356.0,1206.0
71,1130.0,1217.0,1322.0,1130.0
72,1281.0,1317.0,1392.0,1281.0
73,1111.0,1171.0,1306.0,1111.0
74,1204.0,1261.0,1354.0,1204.0
75,1210.0,1267.0,1354.0,1210.0
76,1206.0,1290.0,1356.0,1206.0
77,1212.0,1290.0,1359.0,1212.0
78,1236.0,1308.0,1374.0,1236.0
79,1259.0,1316.0,1382.0,1259.0
80,1201.0,1273.0,1357.0,1201.0
81,1208.0,1262.0,1355.0,1208.0
82,1183.0,1240.0,1342.0,1183.0
83,1263.0,1323.0,1383.0,1263.0
84,1162.0,1261.0,1330.0,1162.0
85,1163.0,1244.0,1334.0,1163.0
86,1178.0,1253.0,1337.0,1178.0
87,1167.0,1257.0,1341.0,1167.0
88,1239.0,1290.0,1365.0,1239.0
89,1223.0,1265.0,1364.0,1223.0
90,1221.0,1299.0,1365.0,1221.0
91,1146.0,1236.0,1326.0,1146.0
92,1187.0,1289.0,1349.0,1187.0
93,1153.0,1249.0,1330.0,1153.0
94,1266.0,1290.0,1383.0,1266.0
95,1206.0,1275.0,1353.0,1206.0
96,1229.0,1292.0,1364.0,1229.0
97,1200.0,1260.0,1356.0,1200.0
98,1181.0,1265.0,1346.0,1181.0
99,1223.0,1298.0,1364.0,1223.0
100,1190.89,1258.45,1344.22,1190.89
