,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,283.0,289.0,301.0,301.0
1,255.0,267.0,273.0,273.0
2,277.0,286.0,298.0,298.0
3,276.0,282.0,297.0,297.0
4,285.0,294.0,303.0,303.0
5,275.0,278.0,299.0,299.0
6,261.0,270.0,291.0,291.0
7,284.0,287.0,302.0,302.0
8,248.0,263.0,269.0,269.0
9,238.0,256.0,262.0,262.0
10,258.0,279.0,291.0,291.0
11,248.0,251.0,284.0,284.0
12,271.0,283.0,295.0,295.0
13,281.0,290.0,299.0,299.0
14,271.0,280.0,295.0,295.0
15,217.0,229.0,250.0,250.0
16,232.0,241.0,274.0,274.0
17,256.0,265.0,289.0,289.0
18,222.0,252.0,255.0,255.0
19,259.0,262.0,274.0,274.0
20,252.0,264.0,285.0,285.0
21,250.0,265.0,283.0,283.0
22,275.0,281.0,296.0,296.0
23,290.0,299.0,308.0,308.0
24,281.0,284.0,302.0,302.0
25,244.0,265.0,283.0,283.0
26,205.0,226.0,244.0,244.0
27,252.0,261.0,282.0,282.0
28,213.0,228.0,246.0,246.0
29,257.0,266.0,287.0,287.0
30,267.0,285.0,297.0,297.0
31,201.0,216.0,243.0,243.0
32,274.0,283.0,295.0,295.0
33,274.0,280.0,295.0,295.0
34,260.0,275.0,290.0,290.0
35,258.0,264.0,288.0,288.0
36,245.0,257.0,281.0,281.0
37,250.0,268.0,280.0,280.0
38,266.0,272.0,293.0,293.0
39,202.0,217.0,241.0,241.0
40,269.0,281.0,293.0,293.0
41,262.0,280.0,292.0,292.0
42,256.0,256.0,286.0,286.0
43,282.0,282.0,303.0,303.0
44,287.0,290.0,305.0,305.0
45,243.0,261.0,279.0,279.0
46,254.0,269.0,287.0,287.0
47,295.0,301.0,310.0,310.0
48,260.0,275.0,290.0,290.0
49,263.0,266.0,293.0,293.0
50,273.0,273.0,297.0,297.0
51,229.0,244.0,256.0,256.0
52,213.0,240.0,252.0,252.0
53,247.0,253.0,265.0,265.0
54,209.0,227.0,260.0,260.0
55,251.0,260.0,269.0,269.0
56,261.0,279.0,291.0,291.0
57,252.0,267.0,288.0,288.0
58,282.0,288.0,300.0,300.0
59,273.0,288.0,300.0,300.0
60,268.0,268.0,292.0,292.0
61,270.0,285.0,297.0,297.0
62,256.0,268.0,289.0,289.0
63,270.0,270.0,294.0,294.0
64,260.0,266.0,287.0,287.0
65,261.0,279.0,291.0,291.0
66,260.0,263.0,290.0,290.0
67,285.0,294.0,303.0,303.0
68,272.0,281.0,296.0,296.0
69,254.0,254.0,284.0,284.0
70,235.0,253.0,274.0,274.0
71,274.0,283.0,295.0,295.0
72,254.0,260.0,284.0,284.0
73,237.0,249.0,276.0,276.0
74,236.0,257.0,260.0,260.0
75,291.0,297.0,306.0,306.0
76,221.0,239.0,254.0,254.0
77,271.0,277.0,295.0,295.0
78,276.0,276.0,297.0,297.0
79,236.0,245.0,278.0,278.0
80,272.0,272.0,293.0,293.0
81,249.0,249.0,285.0,285.0
82,235.0,238.0,262.0,262.0
83,178.0,184.0,208.0,208.0
84,247.0,262.0,268.0,268.0
85,267.0,276.0,294.0,294.0
86,236.0,260.0,275.0,275.0
87,255.0,273.0,288.0,288.0
88,272.0,281.0,296.0,296.0
89,299.0,302.0,311.0,311.0
90,188.0,203.0,218.0,218.0
91,283.0,286.0,301.0,301.0
92,263.0,275.0,293.0,293.0
93,271.0,286.0,295.0,295.0
94,300.0,300.0,312.0,312.0
95,259.0,268.0,289.0,289.0
96,241.0,244.0,262.0,262.0
97,268.0,286.0,295.0,295.0
98,247.0,268.0,283.0,283.0
99,253.0,271.0,286.0,286.0
100,256.44,266.88,283.92,283.92
