,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0,399.0,411.0,423.0,399.0
1,424.0,424.0,436.0,424.0
2,398.0,404.0,422.0,398.0
3,412.0,418.0,433.0,412.0
4,389.0,392.0,419.0,389.0
5,361.0,379.0,385.0,361.0
6,414.0,417.0,432.0,414.0
7,401.0,401.0,422.0,401.0
8,392.0,392.0,419.0,392.0
9,417.0,426.0,435.0,417.0
10,379.0,400.0,415.0,379.0
11,382.0,385.0,415.0,382.0
12,421.0,421.0,436.0,421.0
13,377.0,386.0,395.0,377.0
14,360.0,375.0,384.0,360.0
15,390.0,405.0,417.0,390.0
16,353.0,368.0,380.0,353.0
17,413.0,419.0,431.0,413.0
18,422.0,428.0,437.0,422.0
19,364.0,367.0,385.0,364.0
20,360.0,363.0,381.0,360.0
21,368.0,380.0,389.0,368.0
22,409.0,412.0,430.0,409.0
23,357.0,363.0,384.0,357.0
24,316.0,352.0,361.0,316.0
25,416.0,422.0,434.0,416.0
26,418.0,427.0,436.0,418.0
27,423.0,426.0,438.0,423.0
28,388.0,403.0,418.0,388.0
29,370.0,391.0,409.0,370.0
30,402.0,420.0,429.0,402.0
31,398.0,407.0,422.0,398.0
32,434.0,434.0,443.0,434.0
33,412.0,418.0,430.0,412.0
34,409.0,418.0,430.0,409.0
35,412.0,412.0,430.0,412.0
36,364.0,382.0,406.0,364.0
37,344.0,362.0,377.0,344.0
38,417.0,426.0,435.0,417.0
39,378.0,393.0,414.0,378.0
40,411.0,423.0,432.0,411.0
41,426.0,426.0,438.0,426.0
42,393.0,414.0,423.0,393.0
43,369.0,393.0,408.0,369.0
44,408.0,420.0,429.0,408.0
45,385.0,400.0,415.0,385.0
46,347.0,359.0,377.0,347.0
47,417.0,417.0,435.0,417.0
48,409.0,412.0,427.0,409.0
49,395.0,401.0,422.0,395.0
50,338.0,371.0,374.0,338.0
51,392.0,395.0,419.0,392.0
52,418.0,421.0,436.0,418.0
53,326.0,350.0,365.0,326.0
54,393.0,393.0,423.0,393.0
55,385.0,391.0,418.0,385.0
56,399.0,411.0,423.0,399.0
57,357.0,366.0,381.0,357.0
58,406.0,412.0,427.0,406.0
59,388.0,400.0,418.0,388.0
60,314.0,332.0,338.0,314.0
61,323.0,332.0,362.0,323.0
62,387.0,393.0,417.0,387.0
63,347.0,353.0,377.0,347.0
64,409.0,418.0,430.0,409.0
65,399.0,411.0,426.0,399.0
66,351.0,375.0,381.0,351.0
67,351.0,366.0,381.0,351.0
68,377.0,380.0,392.0,377.0
69,369.0,387.0,405.0,369.0
70,341.0,365.0,374.0,341.0
71,413.0,413.0,431.0,413.0
72,366.0,375.0,408.0,366.0
73,412.0,412.0,430.0,412.0
74,386.0,392.0,419.0,386.0
75,404.0,416.0,428.0,404.0
76,408.0,414.0,426.0,408.0
77,383.0,398.0,416.0,383.0
78,421.0,421.0,433.0,421.0
79,375.0,396.0,411.0,375.0
80,356.0,368.0,380.0,356.0
81,367.0,376.0,406.0,367.0
82,415.0,421.0,433.0,415.0
83,402.0,411.0,426.0,402.0
84,380.0,386.0,413.0,380.0
85,348.0,372.0,378.0,348.0
86,414.0,420.0,432.0,414.0
87,409.0,418.0,430.0,409.0
88,364.0,367.0,385.0,364.0
89,395.0,407.0,422.0,395.0
90,356.0,356.0,383.0,356.0
91,352.0,367.0,379.0,352.0
92,388.0,403.0,418.0,388.0
93,399.0,399.0,426.0,399.0
94,424.0,430.0,439.0,424.0
95,400.0,412.0,424.0,400.0
96,415.0,424.0,433.0,415.0
97,406.0,412.0,427.0,406.0
98,414.0,417.0,432.0,414.0
99,396.0,405.0,423.0,396.0
100,387.61,397.24,412.81,387.61
