,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,1703.0,1769.0,1871.0,1871.0
1,1692.0,1770.0,1869.0,1869.0
2,1690.0,1801.0,1879.0,1879.0
3,1748.0,1829.0,1997.0,1997.0
4,1648.0,1741.0,1855.0,1855.0
5,1666.0,1780.0,1861.0,1861.0
6,1671.0,1761.0,1866.0,1866.0
7,1647.0,1764.0,1860.0,1860.0
8,1574.0,1727.0,1814.0,1814.0
9,1705.0,1789.0,1882.0,1882.0
10,1637.0,1793.0,1853.0,1853.0
11,1620.0,1719.0,1839.0,1839.0
12,1686.0,1791.0,1875.0,1875.0
13,1784.0,1865.0,2018.0,2018.0
14,1725.0,1800.0,1980.0,1980.0
15,1686.0,1773.0,1872.0,1872.0
16,1691.0,1811.0,1967.0,1967.0
17,1714.0,1813.0,1978.0,1978.0
18,1703.0,1799.0,1877.0,1877.0
19,1716.0,1794.0,1890.0,1890.0
20,1613.0,1712.0,1835.0,1835.0
21,1730.0,1808.0,1982.0,1982.0
22,1740.0,1803.0,1992.0,1992.0
23,1732.0,1825.0,1900.0,1900.0
24,1740.0,1824.0,1983.0,1983.0
25,1672.0,1777.0,1867.0,1867.0
26,1651.0,1771.0,1858.0,1858.0
27,1789.0,1864.0,2014.0,2014.0
28,1705.0,1822.0,1969.0,1969.0
29,1643.0,1784.0,1859.0,1859.0
30,1549.0,1687.0,1804.0,1804.0
31,1644.0,1776.0,1854.0,1854.0
32,1746.0,1818.0,1986.0,1986.0
33,1655.0,1739.0,1853.0,1853.0
34,1676.0,1757.0,1871.0,1871.0
35,1685.0,1790.0,1874.0,1874.0
36,1685.0,1769.0,1874.0,1874.0
37,1633.0,1747.0,1840.0,1840.0
38,1769.0,1835.0,2000.0,2000.0
39,1667.0,1775.0,1862.0,1862.0
40,1683.0,1785.0,1863.0,1863.0
41,1681.0,1801.0,1870.0,1870.0
42,1646.0,1778.0,1850.0,1850.0
43,1672.0,1756.0,1864.0,1864.0
44,1633.0,1774.0,1846.0,1846.0
45,1675.0,1768.0,1867.0,1867.0
46,1682.0,1811.0,1967.0,1967.0
47,1701.0,1797.0,1971.0,1971.0
48,1682.0,1808.0,1871.0,1871.0
49,1730.0,1796.0,1892.0,1892.0
50,1636.0,1747.0,1846.0,1846.0
51,1654.0,1765.0,1852.0,1852.0
52,1804.0,1846.0,2017.0,2017.0
53,1670.0,1805.0,1868.0,1868.0
54,1715.0,1820.0,1979.0,1979.0
55,1724.0,1817.0,1982.0,1982.0
56,1604.0,1694.0,1832.0,1832.0
57,1723.0,1810.0,1888.0,1888.0
58,1666.0,1801.0,1867.0,1867.0
59,1593.0,1734.0,1824.0,1824.0
60,1721.0,1787.0,1979.0,1979.0
61,1775.0,1859.0,2006.0,2006.0
62,1729.0,1828.0,1984.0,1984.0
63,1743.0,1854.0,1992.0,1992.0
64,1765.0,1834.0,2002.0,2002.0
65,1593.0,1725.0,1827.0,1827.0
66,1645.0,1768.0,1852.0,1852.0
67,1602.0,1755.0,1830.0,1830.0
68,1642.0,1777.0,1852.0,1852.0
69,1653.0,1728.0,1845.0,1845.0
70,1683.0,1764.0,1866.0,1866.0
71,1758.0,1842.0,2001.0,2001.0
72,1649.0,1790.0,1859.0,1859.0
73,1696.0,1795.0,1969.0,1969.0
74,1668.0,1758.0,1863.0,1863.0
75,1587.0,1728.0,1824.0,1824.0
76,1572.0,1719.0,1818.0,1818.0
77,1602.0,1737.0,1833.0,1833.0
78,1778.0,1841.0,2009.0,2009.0
79,1674.0,1794.0,1872.0,1872.0
80,1784.0,1880.0,2018.0,2018.0
81,1756.0,1840.0,1996.0,1996.0
82,1689.0,1803.0,1875.0,1875.0
83,1661.0,1772.0,1853.0,1853.0
84,1725.0,1800.0,1983.0,1983.0
85,1653.0,1767.0,1863.0,1863.0
86,1716.0,1818.0,1890.0,1890.0
87,1752.0,1854.0,1995.0,1995.0
88,1627.0,1750.0,1840.0,1840.0
89,1682.0,1784.0,1868.0,1868.0
90,1762.0,1837.0,1999.0,1999.0
91,1646.0,1796.0,1859.0,1859.0
92,1710.0,1791.0,1881.0,1881.0
93,1652.0,1787.0,1856.0,1856.0
94,1612.0,1735.0,1831.0,1831.0
95,1776.0,1872.0,2007.0,2007.0
96,1517.0,1661.0,1781.0,1781.0
97,1564.0,1696.0,1810.0,1810.0
98,1583.0,1706.0,1817.0,1817.0
99,1647.0,1752.0,1848.0,1848.0
100,1680.53,1784.69,1897.49,1897.49
