,fixed32bit
0,1967.0
1,1907.0
2,1996.0
3,2016.0
4,2003.0
5,2031.0
6,2011.0
7,1984.0
8,1991.0
9,1986.0
10,1984.0
11,1992.0
12,1996.0
13,1961.0
14,1923.0
15,2009.0
16,1945.0
17,1977.0
18,1970.0
19,1987.0
20,2023.0
21,1939.0
22,2002.0
23,2012.0
24,2016.0
25,1983.0
26,1997.0
27,1965.0
28,2023.0
29,2029.0
30,2012.0
31,1982.0
32,1973.0
33,1976.0
34,2004.0
35,1969.0
36,1947.0
37,2031.0
38,2002.0
39,2013.0
40,1971.0
41,1966.0
42,1943.0
43,1993.0
44,1976.0
45,1985.0
46,2012.0
47,2007.0
48,1972.0
49,2006.0
50,1993.0
51,2004.0
52,1991.0
53,1983.0
54,1988.0
55,1986.0
56,1997.0
57,1974.0
58,2035.0
59,1991.0
60,1975.0
61,1951.0
62,1969.0
63,1938.0
64,1905.0
65,1985.0
66,2003.0
67,1988.0
68,2007.0
69,1982.0
70,1916.0
71,1988.0
72,1949.0
73,2000.0
74,1973.0
75,1998.0
76,1928.0
77,2008.0
78,1961.0
79,1997.0
80,2019.0
81,2041.0
82,1971.0
83,1972.0
84,2025.0
85,1949.0
86,1995.0
87,2022.0
88,1969.0
89,1987.0
90,1978.0
91,1992.0
92,1906.0
93,1945.0
94,2003.0
95,1990.0
96,1982.0
97,1959.0
98,1973.0
99,1953.0
100,1983.59
