,fixed32bit
0,4407.0
1,4382.0
2,4385.0
3,4426.0
4,4421.0
5,4422.0
6,4371.0
7,4402.0
8,4392.0
9,4382.0
10,4364.0
11,4361.0
12,4430.0
13,4420.0
14,4405.0
15,4366.0
16,4352.0
17,4438.0
18,4340.0
19,4441.0
20,4387.0
21,4411.0
22,4421.0
23,4466.0
24,4458.0
25,4379.0
26,4436.0
27,4408.0
28,4472.0
29,4434.0
30,4434.0
31,4424.0
32,4457.0
33,4328.0
34,4439.0
35,4417.0
36,4418.0
37,4445.0
38,4451.0
39,4429.0
40,4404.0
41,4416.0
42,4432.0
43,4384.0
44,4453.0
45,4362.0
46,4438.0
47,4461.0
48,4407.0
49,4373.0
50,4430.0
51,4379.0
52,4433.0
53,4426.0
54,4410.0
55,4424.0
56,4383.0
57,4420.0
58,4395.0
59,4445.0
60,4372.0
61,4431.0
62,4390.0
63,4400.0
64,4440.0
65,4449.0
66,4344.0
67,4420.0
68,4360.0
69,4408.0
70,4420.0
71,4431.0
72,4448.0
73,4482.0
74,4359.0
75,4373.0
76,4394.0
77,4476.0
78,4401.0
79,4388.0
80,4443.0
81,4413.0
82,4445.0
83,4417.0
84,4421.0
85,4433.0
86,4397.0
87,4422.0
88,4385.0
89,4420.0
90,4396.0
91,4428.0
92,4429.0
93,4440.0
94,4500.0
95,4391.0
96,4381.0
97,4346.0
98,4377.0
99,4470.0
100,4412.36
