,fixed32bit
1,4848.0
2,4879.0
3,4861.0
4,4848.0
5,4850.0
6,4918.0
7,4935.0
8,4891.0
9,4868.0
10,4865.0
11,4812.0
12,4873.0
13,4872.0
14,4909.0
15,4882.0
16,4874.0
17,4900.0
18,4919.0
19,4915.0
20,4873.0
21,4854.0
22,4834.0
23,4906.0
24,4837.0
25,4856.0
26,4862.0
27,4913.0
28,4891.0
29,4837.0
30,4889.0
31,4885.0
32,4865.0
33,4827.0
34,4858.0
35,4870.0
36,4822.0
37,4794.0
38,4890.0
39,4832.0
40,4867.0
41,4865.0
42,4880.0
43,4849.0
44,4928.0
45,4861.0
46,4871.0
47,4851.0
48,4851.0
49,4859.0
50,4860.0
51,4878.0
52,4857.0
53,4825.0
54,4880.0
55,4817.0
56,4863.0
57,4849.0
58,4867.0
59,4811.0
60,4853.0
61,4866.0
62,4830.0
63,4898.0
64,4832.0
65,4856.0
66,4837.0
67,4832.0
68,4837.0
69,4833.0
70,4849.0
71,4849.0
72,4888.0
73,4893.0
74,4885.0
75,4807.0
76,4893.0
77,4853.0
78,4867.0
79,4855.0
80,4850.0
81,4851.0
82,4860.0
83,4825.0
84,4883.0
85,4889.0
86,4855.0
87,4803.0
88,4806.0
89,4838.0
90,4845.0
91,4883.0
92,4810.0
93,4901.0
94,4844.0
95,4825.0
96,4832.0
97,4825.0
98,4856.0
99,4823.0
100,4859.53
