,fixed32bit
1,3026.0
2,3062.0
3,3093.0
4,3092.0
5,3050.0
6,3039.0
7,3039.0
8,3050.0
9,3061.0
10,3052.0
11,3087.0
12,3093.0
13,3048.0
14,3019.0
15,3051.0
16,3029.0
17,3040.0
18,3040.0
19,3061.0
20,3127.0
21,3098.0
22,3098.0
23,3099.0
24,3097.0
25,3097.0
26,2996.0
27,3073.0
28,3009.0
29,3078.0
30,3078.0
31,3049.0
32,3083.0
33,3024.0
34,3038.0
35,3083.0
36,3094.0
37,3076.0
38,3051.0
39,3070.0
40,3032.0
41,3039.0
42,3100.0
43,3035.0
44,3026.0
45,3081.0
46,3081.0
47,3075.0
48,3075.0
49,3040.0
50,3065.0
51,3066.0
52,3050.0
53,3032.0
54,3098.0
55,3039.0
56,3024.0
57,3067.0
58,3076.0
59,3057.0
60,3061.0
61,3043.0
62,3073.0
63,3052.0
64,3019.0
65,3079.0
66,3058.0
67,3054.0
68,3045.0
69,3064.0
70,3061.0
71,3099.0
72,3091.0
73,3060.0
74,3065.0
75,3036.0
76,3039.0
77,3029.0
78,3042.0
79,3055.0
80,3032.0
81,3005.0
82,3027.0
83,3051.0
84,3006.0
85,3071.0
86,3091.0
87,3046.0
88,3061.0
89,3076.0
90,3093.0
91,3050.0
92,3055.0
93,3046.0
94,3054.0
95,3055.0
96,3021.0
97,3067.0
98,3030.0
99,3047.0
100,3057.81
