,fixed32bit
1,5457.0
2,5499.0
3,5453.0
4,5463.0
5,5460.0
6,5432.0
7,5508.0
8,5519.0
9,5505.0
10,5404.0
11,5448.0
12,5498.0
13,5533.0
14,5472.0
15,5546.0
16,5450.0
17,5522.0
18,5492.0
19,5458.0
20,5465.0
21,5491.0
22,5436.0
23,5498.0
24,5421.0
25,5462.0
26,5439.0
27,5537.0
28,5417.0
29,5455.0
30,5448.0
31,5439.0
32,5454.0
33,5492.0
34,5491.0
35,5448.0
36,5433.0
37,5409.0
38,5450.0
39,5451.0
40,5520.0
41,5494.0
42,5389.0
43,5520.0
44,5509.0
45,5377.0
46,5468.0
47,5470.0
48,5453.0
49,5482.0
50,5489.0
51,5457.0
52,5503.0
53,5496.0
54,5478.0
55,5460.0
56,5493.0
57,5487.0
58,5472.0
59,5437.0
60,5492.0
61,5549.0
62,5524.0
63,5451.0
64,5495.0
65,5419.0
66,5449.0
67,5448.0
68,5474.0
69,5554.0
70,5374.0
71,5524.0
72,5438.0
73,5420.0
74,5429.0
75,5444.0
76,5500.0
77,5474.0
78,5516.0
79,5421.0
80,5504.0
81,5481.0
82,5502.0
83,5410.0
84,5391.0
85,5466.0
86,5452.0
87,5427.0
88,5469.0
89,5465.0
90,5537.0
91,5503.0
92,5398.0
93,5494.0
94,5453.0
95,5477.0
96,5460.0
97,5398.0
98,5527.0
99,5471.0
100,5468.45
