,fixed32bit
1,1828.0
2,1868.0
3,1854.0
4,1850.0
5,1868.0
6,1852.0
7,1854.0
8,1864.0
9,1819.0
10,1857.0
11,1836.0
12,1872.0
13,1868.0
14,1816.0
15,1805.0
16,1847.0
17,1828.0
18,1849.0
19,1865.0
20,1840.0
21,1873.0
22,1816.0
23,1786.0
24,1840.0
25,1825.0
26,1877.0
27,1876.0
28,1844.0
29,1822.0
30,1823.0
31,1840.0
32,1856.0
33,1876.0
34,1816.0
35,1835.0
36,1835.0
37,1837.0
38,1824.0
39,1870.0
40,1871.0
41,1857.0
42,1845.0
43,1855.0
44,1865.0
45,1873.0
46,1806.0
47,1845.0
48,1862.0
49,1881.0
50,1838.0
51,1842.0
52,1835.0
53,1839.0
54,1865.0
55,1806.0
56,1861.0
57,1863.0
58,1850.0
59,1843.0
60,1873.0
61,1871.0
62,1863.0
63,1815.0
64,1854.0
65,1886.0
66,1852.0
67,1879.0
68,1836.0
69,1867.0
70,1832.0
71,1821.0
72,1827.0
73,1841.0
74,1878.0
75,1839.0
76,1845.0
77,1853.0
78,1866.0
79,1823.0
80,1853.0
81,1830.0
82,1816.0
83,1835.0
84,1887.0
85,1837.0
86,1868.0
87,1865.0
88,1810.0
89,1861.0
90,1846.0
91,1824.0
92,1860.0
93,1872.0
94,1839.0
95,1852.0
96,1838.0
97,1873.0
98,1875.0
99,1846.0
100,1847.53
