,fixed32bit
1,3631.0
2,3639.0
3,3670.0
4,3684.0
5,3620.0
6,3672.0
7,3661.0
8,3649.0
9,3635.0
10,3656.0
11,3673.0
12,3667.0
13,3644.0
14,3700.0
15,3640.0
16,3670.0
17,3570.0
18,3681.0
19,3638.0
20,3619.0
21,3628.0
22,3690.0
23,3611.0
24,3665.0
25,3597.0
26,3666.0
27,3658.0
28,3608.0
29,3680.0
30,3668.0
31,3681.0
32,3709.0
33,3663.0
34,3666.0
35,3641.0
36,3650.0
37,3581.0
38,3662.0
39,3684.0
40,3639.0
41,3645.0
42,3594.0
43,3665.0
44,3662.0
45,3665.0
46,3678.0
47,3686.0
48,3631.0
49,3654.0
50,3627.0
51,3667.0
52,3670.0
53,3663.0
54,3663.0
55,3669.0
56,3639.0
57,3715.0
58,3634.0
59,3624.0
60,3687.0
61,3705.0
62,3708.0
63,3637.0
64,3640.0
65,3652.0
66,3681.0
67,3659.0
68,3677.0
69,3641.0
70,3731.0
71,3684.0
72,3618.0
73,3578.0
74,3662.0
75,3646.0
76,3653.0
77,3668.0
78,3634.0
79,3655.0
80,3695.0
81,3672.0
82,3639.0
83,3659.0
84,3647.0
85,3674.0
86,3657.0
87,3654.0
88,3618.0
89,3646.0
90,3648.0
91,3643.0
92,3663.0
93,3674.0
94,3655.0
95,3706.0
96,3621.0
97,3599.0
98,3690.0
99,3607.0
100,3654.81
