,fixed32bit
1,6664.0
2,6680.0
3,6728.0
4,6672.0
5,6691.0
6,6600.0
7,6687.0
8,6669.0
9,6643.0
10,6679.0
11,6639.0
12,6626.0
13,6605.0
14,6722.0
15,6698.0
16,6677.0
17,6697.0
18,6706.0
19,6683.0
20,6647.0
21,6725.0
22,6672.0
23,6702.0
24,6653.0
25,6696.0
26,6730.0
27,6657.0
28,6758.0
29,6743.0
30,6677.0
31,6630.0
32,6637.0
33,6643.0
34,6726.0
35,6683.0
36,6763.0
37,6642.0
38,6694.0
39,6691.0
40,6641.0
41,6638.0
42,6650.0
43,6708.0
44,6707.0
45,6739.0
46,6709.0
47,6623.0
48,6654.0
49,6649.0
50,6671.0
51,6717.0
52,6637.0
53,6693.0
54,6732.0
55,6586.0
56,6621.0
57,6669.0
58,6721.0
59,6686.0
60,6649.0
61,6661.0
62,6640.0
63,6692.0
64,6637.0
65,6670.0
66,6692.0
67,6661.0
68,6624.0
69,6690.0
70,6623.0
71,6667.0
72,6706.0
73,6710.0
74,6632.0
75,6672.0
76,6708.0
77,6697.0
78,6699.0
79,6651.0
80,6681.0
81,6651.0
82,6709.0
83,6649.0
84,6628.0
85,6682.0
86,6658.0
87,6644.0
88,6645.0
89,6703.0
90,6664.0
91,6617.0
92,6700.0
93,6652.0
94,6705.0
95,6692.0
96,6678.0
97,6676.0
98,6647.0
99,6643.0
100,6673.37
