,fixed32bit
0,3771.0
1,3792.0
2,3734.0
3,3807.0
4,3781.0
5,3789.0
6,3823.0
7,3777.0
8,3844.0
9,3807.0
10,3816.0
11,3794.0
12,3816.0
13,3746.0
14,3826.0
15,3756.0
16,3807.0
17,3763.0
18,3803.0
19,3799.0
20,3843.0
21,3716.0
22,3776.0
23,3795.0
24,3790.0
25,3805.0
26,3806.0
27,3712.0
28,3830.0
29,3810.0
30,3744.0
31,3796.0
32,3797.0
33,3750.0
34,3789.0
35,3745.0
36,3780.0
37,3828.0
38,3846.0
39,3777.0
40,3854.0
41,3804.0
42,3776.0
43,3797.0
44,3782.0
45,3798.0
46,3772.0
47,3797.0
48,3795.0
49,3774.0
50,3755.0
51,3741.0
52,3759.0
53,3819.0
54,3781.0
55,3805.0
56,3808.0
57,3810.0
58,3779.0
59,3733.0
60,3734.0
61,3781.0
62,3771.0
63,3857.0
64,3815.0
65,3765.0
66,3806.0
67,3814.0
68,3827.0
69,3815.0
70,3775.0
71,3814.0
72,3788.0
73,3728.0
74,3699.0
75,3776.0
76,3772.0
77,3787.0
78,3768.0
79,3794.0
80,3827.0
81,3825.0
82,3805.0
83,3738.0
84,3781.0
85,3843.0
86,3753.0
87,3803.0
88,3782.0
89,3796.0
90,3751.0
91,3802.0
92,3805.0
93,3777.0
94,3801.0
95,3823.0
96,3823.0
97,3845.0
98,3788.0
99,3745.0
100,3789.24
