Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,1241.0,1307.0,1397.0,2635.0
1,1286.0,1328.0,1418.0,2582.0
2,1181.0,1253.0,1367.0,2657.0
3,1226.0,1313.0,1388.0,2638.0
4,1222.0,1306.0,1384.0,2623.0
5,1209.0,1284.0,1374.0,2604.0
6,1254.0,1314.0,1398.0,2656.0
7,1153.0,1258.0,1351.0,2638.0
8,1288.0,1336.0,1423.0,2587.0
9,1167.0,1245.0,1296.0,2666.0
10,1125.0,1239.0,1338.0,2639.0
11,1228.0,1309.0,1390.0,2605.0
12,1263.0,1320.0,1407.0,2604.0
13,1204.0,1282.0,1372.0,2648.0
14,1158.0,1248.0,1353.0,2646.0
15,1233.0,1317.0,1398.0,2593.0
16,1220.0,1265.0,1382.0,2595.0
17,1212.0,1296.0,1383.0,2568.0
18,1322.0,1358.0,1436.0,2619.0
19,1238.0,1301.0,1394.0,2602.0
20,1194.0,1284.0,1374.0,2621.0
21,1150.0,1225.0,1291.0,2605.0
22,1129.0,1234.0,1339.0,2560.0
23,1170.0,1230.0,1359.0,2662.0
24,1182.0,1272.0,1365.0,2620.0
25,1255.0,1336.0,1405.0,2664.0
26,1217.0,1265.0,1376.0,2607.0
27,1294.0,1333.0,1420.0,2638.0
28,1221.0,1272.0,1386.0,2634.0
29,1125.0,1212.0,1341.0,2658.0
30,1318.0,1366.0,1441.0,2608.0
31,1244.0,1334.0,1403.0,2635.0
32,1295.0,1361.0,1430.0,2635.0
33,1257.0,1320.0,1407.0,2626.0
34,1216.0,1282.0,1378.0,2678.0
35,1262.0,1337.0,1409.0,2590.0
36,1194.0,1272.0,1377.0,2621.0
37,1226.0,1316.0,1391.0,2660.0
38,1278.0,1341.0,1419.0,2667.0
39,1277.0,1346.0,1418.0,2607.0
40,1293.0,1365.0,1428.0,2624.0
41,1150.0,1222.0,1351.0,2581.0
42,1225.0,1291.0,1387.0,2590.0
43,1350.0,1395.0,1452.0,2575.0
44,1249.0,1297.0,1399.0,2609.0
45,1294.0,1333.0,1417.0,2639.0
46,1245.0,1323.0,1401.0,2677.0
47,1151.0,1235.0,1289.0,2622.0
48,1161.0,1278.0,1359.0,2591.0
49,1289.0,1334.0,1421.0,2571.0
50,1300.0,1348.0,1423.0,2590.0
51,1204.0,1273.0,1375.0,2557.0
52,1198.0,1282.0,1372.0,2627.0
53,1159.0,1252.0,1357.0,2640.0
54,1162.0,1264.0,1357.0,2672.0
55,1193.0,1298.0,1373.0,2613.0
56,1339.0,1378.0,1447.0,2626.0
57,1261.0,1333.0,1408.0,2629.0
58,1176.0,1272.0,1368.0,2578.0
59,1265.0,1331.0,1406.0,2602.0
60,1193.0,1268.0,1367.0,2622.0
61,1254.0,1329.0,1407.0,2672.0
62,1231.0,1297.0,1396.0,2674.0
63,1242.0,1308.0,1395.0,2582.0
64,1240.0,1330.0,1396.0,2655.0
65,1172.0,1232.0,1361.0,2631.0
66,1275.0,1323.0,1416.0,2632.0
67,1304.0,1358.0,1427.0,2635.0
68,1205.0,1283.0,1376.0,2601.0
69,1242.0,1341.0,1398.0,2626.0
70,1211.0,1301.0,1385.0,2557.0
71,1240.0,1309.0,1408.0,2608.0
72,1180.0,1288.0,1369.0,2649.0
73,1172.0,1262.0,1301.0,2607.0
74,1279.0,1336.0,1414.0,2605.0
75,1261.0,1300.0,1402.0,2617.0
76,1251.0,1302.0,1401.0,2614.0
77,1186.0,1282.0,1372.0,2636.0
78,1229.0,1289.0,1391.0,2677.0
79,1336.0,1375.0,1441.0,2658.0
80,1266.0,1338.0,1410.0,2647.0
81,1257.0,1293.0,1404.0,2667.0
82,1304.0,1364.0,1433.0,2580.0
83,1326.0,1371.0,1440.0,2668.0
84,1224.0,1314.0,1392.0,2655.0
85,1238.0,1292.0,1391.0,2584.0
86,1325.0,1370.0,1442.0,2656.0
87,1197.0,1272.0,1371.0,2655.0
88,1259.0,1298.0,1403.0,2644.0
89,1101.0,1203.0,1266.0,2617.0
90,1145.0,1274.0,1349.0,2649.0
91,1259.0,1337.0,1409.0,2619.0
92,1245.0,1311.0,1401.0,2644.0
93,1222.0,1303.0,1387.0,2657.0
94,1253.0,1331.0,1403.0,2673.0
95,1231.0,1315.0,1390.0,2676.0
96,1251.0,1320.0,1401.0,2627.0
97,1212.0,1293.0,1380.0,2616.0
98,1274.0,1334.0,1415.0,2634.0
99,1274.0,1346.0,1418.0,2646.0
100,1231.64,1303.13,1388.96,2625.86
