,fixed32bit
1,4226.0
2,4303.0
3,4295.0
4,4262.0
5,4307.0
6,4273.0
7,4287.0
8,4237.0
9,4265.0
10,4266.0
11,4276.0
12,4303.0
13,4305.0
14,4259.0
15,4238.0
16,4292.0
17,4272.0
18,4305.0
19,4313.0
20,4266.0
21,4283.0
22,4241.0
23,4298.0
24,4297.0
25,4274.0
26,4223.0
27,4265.0
28,4230.0
29,4154.0
30,4217.0
31,4276.0
32,4285.0
33,4290.0
34,4228.0
35,4276.0
36,4281.0
37,4290.0
38,4275.0
39,4259.0
40,4304.0
41,4260.0
42,4312.0
43,4280.0
44,4282.0
45,4259.0
46,4308.0
47,4259.0
48,4234.0
49,4263.0
50,4279.0
51,4278.0
52,4244.0
53,4318.0
54,4267.0
55,4301.0
56,4261.0
57,4256.0
58,4291.0
59,4301.0
60,4237.0
61,4293.0
62,4256.0
63,4285.0
64,4293.0
65,4230.0
66,4278.0
67,4253.0
68,4252.0
69,4271.0
70,4260.0
71,4275.0
72,4304.0
73,4300.0
74,4278.0
75,4272.0
76,4257.0
77,4241.0
78,4244.0
79,4251.0
80,4264.0
81,4275.0
82,4287.0
83,4275.0
84,4242.0
85,4207.0
86,4267.0
87,4304.0
88,4249.0
89,4277.0
90,4299.0
91,4255.0
92,4249.0
93,4207.0
94,4238.0
95,4245.0
96,4218.0
97,4269.0
98,4292.0
99,4301.0
100,4268.81
