,fixed32bit
0,3928.0
1,3939.0
2,3922.0
3,3911.0
4,3910.0
5,3904.0
6,3893.0
7,3981.0
8,3929.0
9,3953.0
10,3971.0
11,3962.0
12,3909.0
13,3954.0
14,3924.0
15,3903.0
16,3915.0
17,3904.0
18,3896.0
19,3922.0
20,3978.0
21,3860.0
22,3927.0
23,3943.0
24,3853.0
25,3895.0
26,3908.0
27,3902.0
28,3893.0
29,3917.0
30,3945.0
31,3885.0
32,3837.0
33,3883.0
34,3915.0
35,3942.0
36,3921.0
37,3911.0
38,3879.0
39,3908.0
40,3976.0
41,3955.0
42,3945.0
43,3916.0
44,3933.0
45,3975.0
46,3837.0
47,3913.0
48,3875.0
49,3896.0
50,3971.0
51,3898.0
52,3900.0
53,3932.0
54,3965.0
55,3943.0
56,3900.0
57,3897.0
58,3932.0
59,3947.0
60,3866.0
61,3949.0
62,3917.0
63,3847.0
64,3957.0
65,3910.0
66,3949.0
67,3879.0
68,3917.0
69,3896.0
70,3922.0
71,3954.0
72,3918.0
73,3950.0
74,3926.0
75,3923.0
76,3886.0
77,3955.0
78,3972.0
79,3910.0
80,3890.0
81,3966.0
82,3882.0
83,3909.0
84,3929.0
85,3935.0
86,3908.0
87,3872.0
88,3933.0
89,3866.0
90,3912.0
91,3924.0
92,3880.0
93,3867.0
94,3902.0
95,3981.0
96,3895.0
97,3929.0
98,3909.0
99,3876.0
100,3917.06
