,fixed32bit
0,680.0
1,677.0
2,678.0
3,681.0
4,669.0
5,633.0
6,662.0
7,644.0
8,657.0
9,679.0
10,665.0
11,655.0
12,673.0
13,660.0
14,654.0
15,663.0
16,647.0
17,679.0
18,640.0
19,667.0
20,671.0
21,662.0
22,656.0
23,659.0
24,682.0
25,653.0
26,658.0
27,671.0
28,655.0
29,682.0
30,683.0
31,641.0
32,653.0
33,636.0
34,679.0
35,665.0
36,670.0
37,676.0
38,657.0
39,675.0
40,658.0
41,657.0
42,661.0
43,686.0
44,660.0
45,645.0
46,678.0
47,672.0
48,639.0
49,655.0
50,673.0
51,668.0
52,666.0
53,664.0
54,679.0
55,672.0
56,673.0
57,676.0
58,666.0
59,640.0
60,676.0
61,666.0
62,664.0
63,665.0
64,655.0
65,672.0
66,681.0
67,668.0
68,638.0
69,680.0
70,663.0
71,664.0
72,682.0
73,657.0
74,684.0
75,656.0
76,677.0
77,667.0
78,662.0
79,667.0
80,676.0
81,676.0
82,679.0
83,681.0
84,682.0
85,656.0
86,667.0
87,666.0
88,662.0
89,673.0
90,665.0
91,661.0
92,687.0
93,678.0
94,665.0
95,673.0
96,666.0
97,667.0
98,655.0
99,649.0
100,665.63
