,fixed32bit
0,2574.0
1,2522.0
2,2490.0
3,2511.0
4,2558.0
5,2560.0
6,2524.0
7,2545.0
8,2535.0
9,2477.0
10,2558.0
11,2505.0
12,2557.0
13,2532.0
14,2520.0
15,2568.0
16,2518.0
17,2516.0
18,2561.0
19,2539.0
20,2534.0
21,2481.0
22,2545.0
23,2563.0
24,2537.0
25,2516.0
26,2493.0
27,2517.0
28,2545.0
29,2579.0
30,2559.0
31,2572.0
32,2565.0
33,2530.0
34,2545.0
35,2518.0
36,2518.0
37,2546.0
38,2569.0
39,2554.0
40,2525.0
41,2540.0
42,2539.0
43,2554.0
44,2552.0
45,2519.0
46,2518.0
47,2501.0
48,2550.0
49,2550.0
50,2530.0
51,2537.0
52,2535.0
53,2558.0
54,2478.0
55,2515.0
56,2486.0
57,2519.0
58,2564.0
59,2524.0
60,2516.0
61,2542.0
62,2505.0
63,2586.0
64,2537.0
65,2566.0
66,2486.0
67,2554.0
68,2561.0
69,2537.0
70,2503.0
71,2543.0
72,2539.0
73,2524.0
74,2523.0
75,2555.0
76,2566.0
77,2517.0
78,2508.0
79,2436.0
80,2544.0
81,2547.0
82,2536.0
83,2571.0
84,2493.0
85,2506.0
86,2495.0
87,2529.0
88,2551.0
89,2528.0
90,2469.0
91,2515.0
92,2579.0
93,2521.0
94,2541.0
95,2571.0
96,2535.0
97,2563.0
98,2561.0
99,2507.0
100,2533.16
