,fixed32bit
1,654.0
2,626.0
3,650.0
4,640.0
5,653.0
6,659.0
7,648.0
8,655.0
9,640.0
10,625.0
11,644.0
12,653.0
13,640.0
14,628.0
15,645.0
16,650.0
17,656.0
18,632.0
19,636.0
20,664.0
21,645.0
22,641.0
23,648.0
24,648.0
25,660.0
26,649.0
27,648.0
28,659.0
29,657.0
30,654.0
31,665.0
32,640.0
33,643.0
34,638.0
35,654.0
36,654.0
37,613.0
38,654.0
39,646.0
40,658.0
41,650.0
42,622.0
43,649.0
44,600.0
45,639.0
46,639.0
47,635.0
48,646.0
49,665.0
50,640.0
51,638.0
52,642.0
53,657.0
54,643.0
55,651.0
56,653.0
57,653.0
58,637.0
59,645.0
60,657.0
61,630.0
62,660.0
63,648.0
64,645.0
65,646.0
66,660.0
67,650.0
68,651.0
69,646.0
70,639.0
71,647.0
72,647.0
73,640.0
74,652.0
75,653.0
76,612.0
77,624.0
78,644.0
79,597.0
80,632.0
81,657.0
82,616.0
83,651.0
84,650.0
85,653.0
86,650.0
87,644.0
88,658.0
89,615.0
90,651.0
91,635.0
92,653.0
93,636.0
94,622.0
95,649.0
96,623.0
97,644.0
98,646.0
99,664.0
100,644.31
