,fixed32bit
1,6068.0
2,6022.0
3,6020.0
4,6046.0
5,6065.0
6,6118.0
7,6069.0
8,6076.0
9,6095.0
10,6118.0
11,6074.0
12,6040.0
13,6088.0
14,6061.0
15,6126.0
16,6111.0
17,6134.0
18,6038.0
19,6035.0
20,6097.0
21,6058.0
22,6017.0
23,6127.0
24,6027.0
25,6083.0
26,6108.0
27,6120.0
28,6041.0
29,6089.0
30,6119.0
31,6057.0
32,6057.0
33,6000.0
34,6089.0
35,6090.0
36,6075.0
37,6076.0
38,6063.0
39,6088.0
40,6046.0
41,6103.0
42,6064.0
43,6048.0
44,6147.0
45,6040.0
46,6070.0
47,6131.0
48,6092.0
49,6006.0
50,6097.0
51,6111.0
52,6020.0
53,6028.0
54,6037.0
55,6108.0
56,6057.0
57,6124.0
58,6032.0
59,6080.0
60,6089.0
61,6122.0
62,6002.0
63,6098.0
64,6015.0
65,6071.0
66,6131.0
67,6109.0
68,6105.0
69,6132.0
70,5994.0
71,6119.0
72,6141.0
73,6080.0
74,6139.0
75,6071.0
76,6026.0
77,6166.0
78,6041.0
79,6062.0
80,6045.0
81,6071.0
82,5976.0
83,5966.0
84,6073.0
85,6032.0
86,6161.0
87,6066.0
88,6089.0
89,6062.0
90,6089.0
91,6085.0
92,6103.0
93,6091.0
94,6083.0
95,6057.0
96,6068.0
97,6023.0
98,6040.0
99,6080.0
100,6073.57
