,fixed32bit
0,3275.0
1,3214.0
2,3269.0
3,3278.0
4,3251.0
5,3304.0
6,3277.0
7,3259.0
8,3306.0
9,3296.0
10,3313.0
11,3302.0
12,3288.0
13,3285.0
14,3262.0
15,3258.0
16,3274.0
17,3236.0
18,3307.0
19,3312.0
20,3301.0
21,3213.0
22,3300.0
23,3311.0
24,3269.0
25,3259.0
26,3303.0
27,3280.0
28,3285.0
29,3293.0
30,3257.0
31,3340.0
32,3254.0
33,3258.0
34,3250.0
35,3298.0
36,3294.0
37,3239.0
38,3297.0
39,3219.0
40,3247.0
41,3258.0
42,3294.0
43,3301.0
44,3291.0
45,3320.0
46,3258.0
47,3296.0
48,3219.0
49,3276.0
50,3237.0
51,3286.0
52,3308.0
53,3282.0
54,3313.0
55,3233.0
56,3249.0
57,3260.0
58,3248.0
59,3236.0
60,3272.0
61,3270.0
62,3254.0
63,3283.0
64,3276.0
65,3268.0
66,3277.0
67,3267.0
68,3235.0
69,3300.0
70,3217.0
71,3241.0
72,3229.0
73,3307.0
74,3304.0
75,3270.0
76,3307.0
77,3260.0
78,3239.0
79,3286.0
80,3283.0
81,3293.0
82,3234.0
83,3232.0
84,3262.0
85,3299.0
86,3269.0
87,3239.0
88,3289.0
89,3313.0
90,3270.0
91,3267.0
92,3295.0
93,3271.0
94,3240.0
95,3262.0
96,3297.0
97,3295.0
98,3263.0
99,3297.0
100,3273.3
