,fixed32bit
0,6917.0
1,6900.0
2,6890.0
3,6902.0
4,6997.0
5,6902.0
6,6918.0
7,6942.0
8,6863.0
9,6944.0
10,6950.0
11,6932.0
12,6951.0
13,6843.0
14,6910.0
15,6892.0
16,6911.0
17,6827.0
18,7020.0
19,6911.0
20,6898.0
21,6891.0
22,6870.0
23,6916.0
24,6926.0
25,6968.0
26,6970.0
27,6812.0
28,6888.0
29,6871.0
30,6892.0
31,6901.0
32,6837.0
33,6948.0
34,6831.0
35,6949.0
36,6915.0
37,6940.0
38,6932.0
39,6909.0
40,6924.0
41,6929.0
42,6912.0
43,6909.0
44,6859.0
45,6886.0
46,6949.0
47,6884.0
48,6950.0
49,6947.0
50,6864.0
51,6906.0
52,7047.0
53,6861.0
54,6979.0
55,6916.0
56,6921.0
57,6897.0
58,6769.0
59,6935.0
60,6980.0
61,6911.0
62,6912.0
63,6857.0
64,6886.0
65,6886.0
66,6846.0
67,6967.0
68,6937.0
69,6918.0
70,6902.0
71,6980.0
72,6894.0
73,6953.0
74,6942.0
75,6833.0
76,6916.0
77,6942.0
78,6912.0
79,6922.0
80,6966.0
81,6980.0
82,6862.0
83,6902.0
84,6885.0
85,6902.0
86,6940.0
87,6950.0
88,6921.0
89,6927.0
90,6878.0
91,6799.0
92,6918.0
93,6853.0
94,6839.0
95,6884.0
96,6916.0
97,6952.0
98,6896.0
99,6989.0
100,6910.85
