Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,6458.0,6773.0,7160.0,12326.0
1,6406.0,6763.0,7153.0,12330.0
2,6428.0,6764.0,7157.0,12339.0
3,6364.0,6751.0,7150.0,12275.0
4,6545.0,6881.0,7223.0,12213.0
5,6310.0,6676.0,7108.0,12366.0
6,6415.0,6814.0,7165.0,12366.0
7,6513.0,6861.0,7215.0,12338.0
8,6382.0,6784.0,7150.0,12258.0
9,6433.0,6802.0,7180.0,12309.0
10,6445.0,6805.0,7180.0,12339.0
11,6418.0,6841.0,7168.0,12353.0
12,6414.0,6735.0,7158.0,12295.0
13,6415.0,6802.0,7156.0,12258.0
14,6378.0,6828.0,7155.0,12353.0
15,6526.0,6865.0,7216.0,12374.0
16,6342.0,6702.0,7125.0,12266.0
17,6491.0,6848.0,7196.0,12388.0
18,6486.0,6816.0,7203.0,12306.0
19,6493.0,6838.0,7204.0,12334.0
20,6408.0,6732.0,7149.0,12406.0
21,6406.0,6766.0,7153.0,12427.0
22,6473.0,6788.0,7184.0,12319.0
23,6314.0,6767.0,7115.0,12397.0
24,6184.0,6649.0,7051.0,12265.0
25,6573.0,6930.0,7251.0,12420.0
26,6410.0,6761.0,7151.0,12276.0
27,6367.0,6754.0,7138.0,12360.0
28,6377.0,6716.0,7139.0,12294.0
29,6577.0,6871.0,7246.0,12303.0
30,6472.0,6838.0,7192.0,12411.0
31,6400.0,6763.0,7144.0,12273.0
32,6503.0,6848.0,7211.0,12234.0
33,6418.0,6793.0,7165.0,12434.0
34,6458.0,6773.0,7184.0,12250.0
35,6424.0,6820.0,7171.0,12259.0
36,6293.0,6716.0,7097.0,12353.0
37,6475.0,6781.0,7195.0,12297.0
38,6396.0,6756.0,7143.0,12382.0
39,6307.0,6745.0,7105.0,12315.0
40,6464.0,6854.0,7193.0,12314.0
41,6304.0,6703.0,7099.0,12311.0
42,6535.0,6892.0,7225.0,12197.0
43,6315.0,6747.0,7113.0,12179.0
44,6376.0,6844.0,7141.0,12247.0
45,6491.0,6854.0,7202.0,12348.0
46,6407.0,6785.0,7157.0,12269.0
47,6326.0,6680.0,7112.0,12348.0
48,6326.0,6767.0,7127.0,12207.0
49,6419.0,6770.0,7157.0,12276.0
50,6496.0,6844.0,7204.0,12194.0
51,6261.0,6705.0,7095.0,12306.0
52,6449.0,6824.0,7193.0,12223.0
53,6299.0,6725.0,7097.0,12377.0
54,6381.0,6762.0,7149.0,12327.0
55,6233.0,6635.0,7073.0,12254.0
56,6590.0,6917.0,7247.0,12238.0
57,6577.0,6907.0,7231.0,12217.0
58,6118.0,6604.0,7030.0,12320.0
59,6283.0,6673.0,7099.0,12304.0
60,6435.0,6843.0,7161.0,12326.0
61,6440.0,6761.0,7169.0,12322.0
62,6232.0,6658.0,7075.0,12376.0
63,6587.0,6881.0,7241.0,12414.0
64,6450.0,6825.0,7191.0,12310.0
65,6152.0,6557.0,7022.0,12392.0
66,6433.0,6835.0,7183.0,12392.0
67,6307.0,6730.0,7108.0,12317.0
68,6474.0,6882.0,7191.0,12256.0
69,6371.0,6731.0,7145.0,12271.0
70,6401.0,6809.0,7160.0,12274.0
71,6347.0,6710.0,7142.0,12254.0
72,6345.0,6798.0,7128.0,12293.0
73,6370.0,6784.0,7138.0,12259.0
74,6531.0,6867.0,7224.0,12296.0
75,6345.0,6690.0,7119.0,12353.0
76,6388.0,6796.0,7162.0,12238.0
77,6614.0,6941.0,7265.0,12287.0
78,6421.0,6757.0,7162.0,12306.0
79,6355.0,6802.0,7138.0,12244.0
80,6417.0,6813.0,7164.0,12384.0
81,6433.0,6751.0,7156.0,12307.0
82,6446.0,6836.0,7178.0,12375.0
83,6299.0,6734.0,7118.0,12327.0
84,6408.0,6786.0,7167.0,12243.0
85,6414.0,6849.0,7170.0,12364.0
86,6173.0,6566.0,7037.0,12313.0
87,6337.0,6802.0,7129.0,12355.0
88,5984.0,6551.0,6959.0,12313.0
89,6502.0,6847.0,7204.0,12315.0
90,6318.0,6705.0,7113.0,12208.0
91,6533.0,6911.0,7223.0,12440.0
92,6305.0,6692.0,7103.0,12351.0
93,6433.0,6811.0,7171.0,12333.0
94,6372.0,6642.0,7134.0,12269.0
95,6432.0,6804.0,7167.0,12234.0
96,6238.0,6640.0,7075.0,12321.0
97,6417.0,6807.0,7173.0,12292.0
98,6268.0,6724.0,7087.0,12243.0
99,6580.0,6949.0,7255.0,12278.0
100,6398.54,6778.85,7154.57,12309.62
