,fixed32bit
0,1333.0
1,1362.0
2,1360.0
3,1328.0
4,1358.0
5,1350.0
6,1355.0
7,1356.0
8,1347.0
9,1342.0
10,1327.0
11,1354.0
12,1336.0
13,1325.0
14,1357.0
15,1351.0
16,1341.0
17,1367.0
18,1327.0
19,1347.0
20,1339.0
21,1351.0
22,1347.0
23,1381.0
24,1341.0
25,1307.0
26,1340.0
27,1359.0
28,1358.0
29,1306.0
30,1358.0
31,1349.0
32,1356.0
33,1335.0
34,1354.0
35,1328.0
36,1323.0
37,1350.0
38,1340.0
39,1337.0
40,1321.0
41,1328.0
42,1331.0
43,1319.0
44,1347.0
45,1343.0
46,1335.0
47,1339.0
48,1317.0
49,1328.0
50,1356.0
51,1344.0
52,1325.0
53,1354.0
54,1338.0
55,1346.0
56,1323.0
57,1282.0
58,1333.0
59,1346.0
60,1332.0
61,1342.0
62,1325.0
63,1337.0
64,1297.0
65,1328.0
66,1333.0
67,1337.0
68,1358.0
69,1343.0
70,1316.0
71,1342.0
72,1330.0
73,1338.0
74,1357.0
75,1358.0
76,1328.0
77,1334.0
78,1269.0
79,1328.0
80,1347.0
81,1326.0
82,1349.0
83,1330.0
84,1345.0
85,1353.0
86,1323.0
87,1351.0
88,1332.0
89,1321.0
90,1335.0
91,1335.0
92,1352.0
93,1341.0
94,1317.0
95,1342.0
96,1322.0
97,1314.0
98,1328.0
99,1319.0
100,1337.51
