,fixed32bit
0,3174.0
1,3166.0
2,3170.0
3,3097.0
4,3170.0
5,3146.0
6,3126.0
7,3190.0
8,3145.0
9,3115.0
10,3193.0
11,3153.0
12,3189.0
13,3163.0
14,3195.0
15,3150.0
16,3178.0
17,3132.0
18,3213.0
19,3158.0
20,3184.0
21,3146.0
22,3234.0
23,3158.0
24,3177.0
25,3182.0
26,3176.0
27,3203.0
28,3141.0
29,3135.0
30,3205.0
31,3149.0
32,3119.0
33,3113.0
34,3111.0
35,3174.0
36,3185.0
37,3197.0
38,3170.0
39,3190.0
40,3183.0
41,3183.0
42,3175.0
43,3185.0
44,3162.0
45,3132.0
46,3197.0
47,3157.0
48,3156.0
49,3159.0
50,3186.0
51,3226.0
52,3166.0
53,3158.0
54,3134.0
55,3125.0
56,3153.0
57,3166.0
58,3115.0
59,3166.0
60,3194.0
61,3179.0
62,3187.0
63,3186.0
64,3199.0
65,3161.0
66,3147.0
67,3178.0
68,3155.0
69,3192.0
70,3174.0
71,3170.0
72,3184.0
73,3158.0
74,3180.0
75,3197.0
76,3145.0
77,3132.0
78,3162.0
79,3207.0
80,3173.0
81,3194.0
82,3145.0
83,3177.0
84,3166.0
85,3154.0
86,3191.0
87,3151.0
88,3169.0
89,3167.0
90,3104.0
91,3177.0
92,3207.0
93,3170.0
94,3169.0
95,3173.0
96,3129.0
97,3218.0
98,3174.0
99,3186.0
100,3167.37
