,fixed32bit
1,2457.0
2,2481.0
3,2452.0
4,2411.0
5,2435.0
6,2416.0
7,2442.0
8,2407.0
9,2432.0
10,2419.0
11,2435.0
12,2394.0
13,2405.0
14,2450.0
15,2461.0
16,2446.0
17,2476.0
18,2491.0
19,2383.0
20,2464.0
21,2478.0
22,2496.0
23,2450.0
24,2458.0
25,2446.0
26,2481.0
27,2467.0
28,2445.0
29,2483.0
30,2399.0
31,2426.0
32,2463.0
33,2442.0
34,2460.0
35,2449.0
36,2452.0
37,2431.0
38,2466.0
39,2448.0
40,2458.0
41,2445.0
42,2488.0
43,2452.0
44,2474.0
45,2485.0
46,2463.0
47,2453.0
48,2449.0
49,2447.0
50,2419.0
51,2470.0
52,2446.0
53,2468.0
54,2447.0
55,2428.0
56,2463.0
57,2387.0
58,2466.0
59,2421.0
60,2426.0
61,2473.0
62,2455.0
63,2478.0
64,2452.0
65,2447.0
66,2449.0
67,2399.0
68,2475.0
69,2443.0
70,2452.0
71,2472.0
72,2430.0
73,2479.0
74,2474.0
75,2478.0
76,2454.0
77,2447.0
78,2458.0
79,2475.0
80,2429.0
81,2433.0
82,2476.0
83,2468.0
84,2450.0
85,2471.0
86,2443.0
87,2451.0
88,2413.0
89,2479.0
90,2444.0
91,2470.0
92,2464.0
93,2430.0
94,2411.0
95,2479.0
96,2450.0
97,2462.0
98,2427.0
99,2457.0
100,2450.34
