,fixed32bit
0,7693.0
1,7765.0
2,7825.0
3,7819.0
4,7832.0
5,7891.0
6,7742.0
7,7763.0
8,7867.0
9,7778.0
10,7738.0
11,7765.0
12,7716.0
13,7796.0
14,7815.0
15,7767.0
16,7862.0
17,7757.0
18,7709.0
19,7763.0
20,7811.0
21,7745.0
22,7786.0
23,7681.0
24,7762.0
25,7838.0
26,7746.0
27,7822.0
28,7807.0
29,7805.0
30,7812.0
31,7783.0
32,7803.0
33,7790.0
34,7797.0
35,7824.0
36,7717.0
37,7822.0
38,7813.0
39,7766.0
40,7831.0
41,7784.0
42,7800.0
43,7844.0
44,7884.0
45,7825.0
46,7831.0
47,7725.0
48,7833.0
49,7816.0
50,7717.0
51,7761.0
52,7852.0
53,7833.0
54,7837.0
55,7812.0
56,7824.0
57,7863.0
58,7844.0
59,7801.0
60,7835.0
61,7758.0
62,7915.0
63,7836.0
64,7696.0
65,7852.0
66,7822.0
67,7813.0
68,7813.0
69,7799.0
70,7823.0
71,7791.0
72,7861.0
73,7768.0
74,7792.0
75,7707.0
76,7791.0
77,7729.0
78,7784.0
79,7834.0
80,7789.0
81,7848.0
82,7798.0
83,7826.0
84,7670.0
85,7811.0
86,7808.0
87,7726.0
88,7722.0
89,7805.0
90,7796.0
91,7754.0
92,7826.0
93,7781.0
94,7749.0
95,7784.0
96,7876.0
97,7782.0
98,7800.0
99,7780.0
100,7794.6
