,fixed32bit
0,6301.0
1,6288.0
2,6279.0
3,6281.0
4,6302.0
5,6343.0
6,6337.0
7,6209.0
8,6278.0
9,6249.0
10,6313.0
11,6247.0
12,6299.0
13,6263.0
14,6298.0
15,6313.0
16,6309.0
17,6227.0
18,6231.0
19,6244.0
20,6308.0
21,6288.0
22,6268.0
23,6227.0
24,6343.0
25,6268.0
26,6296.0
27,6287.0
28,6279.0
29,6266.0
30,6287.0
31,6328.0
32,6240.0
33,6304.0
34,6272.0
35,6281.0
36,6229.0
37,6306.0
38,6304.0
39,6268.0
40,6262.0
41,6269.0
42,6281.0
43,6270.0
44,6261.0
45,6263.0
46,6279.0
47,6226.0
48,6326.0
49,6354.0
50,6321.0
51,6216.0
52,6297.0
53,6299.0
54,6268.0
55,6231.0
56,6273.0
57,6293.0
58,6275.0
59,6334.0
60,6266.0
61,6295.0
62,6250.0
63,6298.0
64,6316.0
65,6280.0
66,6287.0
67,6278.0
68,6272.0
69,6364.0
70,6286.0
71,6272.0
72,6336.0
73,6277.0
74,6255.0
75,6290.0
76,6251.0
77,6274.0
78,6265.0
79,6371.0
80,6272.0
81,6321.0
82,6355.0
83,6276.0
84,6299.0
85,6222.0
86,6334.0
87,6291.0
88,6302.0
89,6309.0
90,6221.0
91,6297.0
92,6328.0
93,6319.0
94,6237.0
95,6283.0
96,6318.0
97,6267.0
98,6275.0
99,6315.0
100,6284.82
