,fixed32bit
0,1946.0
1,1927.0
2,1911.0
3,1922.0
4,1892.0
5,1907.0
6,1894.0
7,1946.0
8,1911.0
9,1919.0
10,1914.0
11,1937.0
12,1888.0
13,1901.0
14,1932.0
15,1908.0
16,1886.0
17,1912.0
18,1903.0
19,1878.0
20,1939.0
21,1910.0
22,1869.0
23,1885.0
24,1918.0
25,1919.0
26,1885.0
27,1924.0
28,1927.0
29,1917.0
30,1898.0
31,1916.0
32,1891.0
33,1940.0
34,1946.0
35,1941.0
36,1957.0
37,1933.0
38,1901.0
39,1937.0
40,1882.0
41,1870.0
42,1868.0
43,1903.0
44,1937.0
45,1915.0
46,1906.0
47,1890.0
48,1889.0
49,1938.0
50,1946.0
51,1867.0
52,1940.0
53,1923.0
54,1935.0
55,1912.0
56,1939.0
57,1893.0
58,1916.0
59,1909.0
60,1916.0
61,1919.0
62,1904.0
63,1883.0
64,1924.0
65,1941.0
66,1935.0
67,1956.0
68,1881.0
69,1912.0
70,1910.0
71,1906.0
72,1936.0
73,1938.0
74,1919.0
75,1929.0
76,1904.0
77,1908.0
78,1932.0
79,1912.0
80,1936.0
81,1886.0
82,1916.0
83,1888.0
84,1916.0
85,1938.0
86,1883.0
87,1923.0
88,1942.0
89,1948.0
90,1909.0
91,1950.0
92,1948.0
93,1921.0
94,1914.0
95,1898.0
96,1856.0
97,1946.0
98,1916.0
99,1919.0
100,1914.83
