,fixed32bit
0,7138.0
1,7115.0
2,7170.0
3,7109.0
4,7126.0
5,7166.0
6,7209.0
7,7103.0
8,7215.0
9,7104.0
10,7193.0
11,7194.0
12,7142.0
13,7149.0
14,7118.0
15,7220.0
16,7136.0
17,7170.0
18,7104.0
19,7093.0
20,7107.0
21,7119.0
22,7156.0
23,7089.0
24,7144.0
25,7116.0
26,7115.0
27,7225.0
28,7146.0
29,7133.0
30,7008.0
31,7107.0
32,7155.0
33,7173.0
34,7149.0
35,7178.0
36,7166.0
37,7098.0
38,7174.0
39,7089.0
40,7136.0
41,7131.0
42,7210.0
43,7159.0
44,7160.0
45,7168.0
46,7109.0
47,7123.0
48,7185.0
49,7179.0
50,7106.0
51,7081.0
52,7155.0
53,7210.0
54,7157.0
55,7129.0
56,7177.0
57,7148.0
58,7139.0
59,7146.0
60,7164.0
61,7117.0
62,7128.0
63,7181.0
64,7146.0
65,7097.0
66,7102.0
67,7131.0
68,7162.0
69,7118.0
70,7135.0
71,7166.0
72,7174.0
73,7160.0
74,7146.0
75,7209.0
76,7204.0
77,7167.0
78,7085.0
79,7129.0
80,7189.0
81,7059.0
82,7075.0
83,7137.0
84,7137.0
85,7156.0
86,7150.0
87,7141.0
88,7188.0
89,7191.0
90,7141.0
91,7202.0
92,7038.0
93,7142.0
94,7186.0
95,7141.0
96,7060.0
97,7185.0
98,7243.0
99,7123.0
100,7144.34
