,fixed32bit
1,9053.0
2,9056.0
3,9122.0
4,9125.0
5,9131.0
6,9159.0
7,9120.0
8,9036.0
9,9074.0
10,9149.0
11,9070.0
12,9096.0
13,9046.0
14,9106.0
15,9014.0
16,9053.0
17,9121.0
18,8925.0
19,8991.0
20,9028.0
21,9098.0
22,9080.0
23,9054.0
24,9067.0
25,9110.0
26,9007.0
27,9087.0
28,9070.0
29,9169.0
30,9054.0
31,9051.0
32,9080.0
33,9038.0
34,9060.0
35,9094.0
36,9064.0
37,9058.0
38,9054.0
39,9070.0
40,9161.0
41,9120.0
42,9020.0
43,9034.0
44,8974.0
45,9098.0
46,9105.0
47,9075.0
48,9096.0
49,9186.0
50,9120.0
51,9083.0
52,9134.0
53,9036.0
54,9157.0
55,9034.0
56,9138.0
57,8988.0
58,9076.0
59,9192.0
60,9052.0
61,9153.0
62,9056.0
63,9044.0
64,9127.0
65,9121.0
66,8983.0
67,9022.0
68,9085.0
69,9070.0
70,9156.0
71,9166.0
72,9033.0
73,9047.0
74,9081.0
75,9091.0
76,9009.0
77,9036.0
78,9122.0
79,9109.0
80,9110.0
81,9070.0
82,9053.0
83,9077.0
84,9054.0
85,9138.0
86,9077.0
87,9120.0
88,9116.0
89,9126.0
90,9137.0
91,9062.0
92,9070.0
93,9073.0
94,9044.0
95,9054.0
96,9077.0
97,9054.0
98,9110.0
99,9116.0
100,9081.12
