Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,2508.0,2721.0,2886.0,5724.0
1,2643.0,2787.0,2964.0,5650.0
2,2666.0,2819.0,2969.0,5622.0
3,2463.0,2718.0,2874.0,5674.0
4,2531.0,2690.0,2903.0,5678.0
5,2640.0,2829.0,2970.0,5611.0
6,2508.0,2700.0,2889.0,5661.0
7,2573.0,2717.0,2921.0,5702.0
8,2603.0,2783.0,2945.0,5671.0
9,2597.0,2744.0,2936.0,5593.0
10,2661.0,2802.0,2964.0,5650.0
11,2572.0,2746.0,2932.0,5634.0
12,2509.0,2689.0,2899.0,5679.0
13,2491.0,2680.0,2884.0,5680.0
14,2530.0,2698.0,2905.0,5672.0
15,2520.0,2712.0,2901.0,5612.0
16,2534.0,2741.0,2915.0,5680.0
17,2599.0,2755.0,2935.0,5619.0
18,2629.0,2803.0,2953.0,5634.0
19,2620.0,2773.0,2947.0,5690.0
20,2533.0,2722.0,2905.0,5669.0
21,2565.0,2718.0,2919.0,5639.0
22,2704.0,2833.0,2989.0,5606.0
23,2575.0,2758.0,2929.0,5687.0
24,2604.0,2766.0,2940.0,5693.0
25,2602.0,2755.0,2941.0,5626.0
26,2526.0,2703.0,2895.0,5748.0
27,2581.0,2740.0,2926.0,5668.0
28,2594.0,2783.0,2939.0,5640.0
29,2577.0,2751.0,2931.0,5691.0
30,2594.0,2750.0,2939.0,5608.0
31,2661.0,2808.0,2976.0,5666.0
32,2588.0,2777.0,2933.0,5604.0
33,2730.0,2868.0,3006.0,5655.0
34,2538.0,2685.0,2904.0,5625.0
35,2586.0,2760.0,2934.0,5666.0
36,2693.0,2825.0,2984.0,5664.0
37,2577.0,2787.0,2934.0,5701.0
38,2604.0,2736.0,2943.0,5712.0
39,2500.0,2659.0,2887.0,5698.0
40,2651.0,2807.0,2972.0,5604.0
41,2553.0,2730.0,2916.0,5731.0
42,2581.0,2749.0,2929.0,5716.0
43,2545.0,2713.0,2908.0,5665.0
44,2719.0,2839.0,2998.0,5643.0
45,2549.0,2741.0,2915.0,5649.0
46,2686.0,2836.0,2983.0,5639.0
47,2547.0,2718.0,2922.0,5649.0
48,2505.0,2733.0,2889.0,5661.0
49,2672.0,2795.0,2969.0,5679.0
50,2667.0,2802.0,2970.0,5510.0
51,2611.0,2743.0,2947.0,5667.0
52,2596.0,2776.0,2938.0,5609.0
53,2609.0,2777.0,2942.0,5648.0
54,2588.0,2744.0,2933.0,5681.0
55,2659.0,2773.0,2968.0,5645.0
56,2580.0,2748.0,2934.0,5662.0
57,2562.0,2703.0,2916.0,5720.0
58,2560.0,2689.0,2920.0,5659.0
59,2448.0,2688.0,2865.0,5608.0
60,2568.0,2745.0,2928.0,5630.0
61,2717.0,2837.0,2996.0,5632.0
62,2551.0,2743.0,2917.0,5765.0
63,2563.0,2701.0,2917.0,5635.0
64,2586.0,2709.0,2919.0,5586.0
65,2509.0,2695.0,2899.0,5668.0
66,2495.0,2666.0,2888.0,5625.0
67,2532.0,2739.0,2913.0,5650.0
68,2540.0,2741.0,2906.0,5633.0
69,2580.0,2745.0,2919.0,5609.0
70,2710.0,2836.0,2995.0,5594.0
71,2641.0,2755.0,2962.0,5693.0
72,2446.0,2641.0,2854.0,5664.0
73,2612.0,2753.0,2951.0,5659.0
74,2639.0,2783.0,2957.0,5641.0
75,2535.0,2733.0,2910.0,5695.0
76,2618.0,2795.0,2948.0,5619.0
77,2657.0,2816.0,2963.0,5699.0
78,2555.0,2756.0,2915.0,5700.0
79,2510.0,2630.0,2888.0,5684.0
80,2577.0,2766.0,2937.0,5713.0
81,2584.0,2755.0,2929.0,5693.0
82,2609.0,2756.0,2954.0,5673.0
83,2588.0,2717.0,2933.0,5621.0
84,2700.0,2853.0,2991.0,5686.0
85,2635.0,2818.0,2962.0,5628.0
86,2669.0,2828.0,2975.0,5659.0
87,2595.0,2793.0,2943.0,5663.0
88,2652.0,2823.0,2967.0,5687.0
89,2611.0,2755.0,2947.0,5671.0
90,2652.0,2778.0,2970.0,5713.0
91,2461.0,2650.0,2872.0,5613.0
92,2628.0,2811.0,2958.0,5642.0
93,2614.0,2803.0,2944.0,5607.0
94,2664.0,2799.0,2964.0,5677.0
95,2680.0,2806.0,2986.0,5699.0
96,2534.0,2756.0,2912.0,5680.0
97,2549.0,2732.0,2918.0,5647.0
98,2619.0,2790.0,2949.0,5660.0
99,2651.0,2801.0,2960.0,5645.0
100,2590.53,2756.04,2934.96,5658.05
