,fixed32bit
0,5040.0
1,5033.0
2,5079.0
3,5083.0
4,5019.0
5,4997.0
6,5034.0
7,5023.0
8,5028.0
9,5010.0
10,5057.0
11,5036.0
12,5074.0
13,5066.0
14,5067.0
15,5089.0
16,5066.0
17,5007.0
18,5133.0
19,5028.0
20,5051.0
21,5069.0
22,5024.0
23,5015.0
24,5053.0
25,4986.0
26,5052.0
27,5060.0
28,5051.0
29,5035.0
30,5073.0
31,5047.0
32,4963.0
33,5012.0
34,5036.0
35,4961.0
36,5030.0
37,5008.0
38,5082.0
39,5014.0
40,5041.0
41,4988.0
42,5059.0
43,5040.0
44,5070.0
45,5073.0
46,5029.0
47,5049.0
48,4992.0
49,4880.0
50,5003.0
51,5077.0
52,5022.0
53,5032.0
54,4962.0
55,5102.0
56,5007.0
57,5020.0
58,5001.0
59,4982.0
60,5028.0
61,4997.0
62,5073.0
63,5030.0
64,5011.0
65,5054.0
66,5026.0
67,5002.0
68,5032.0
69,5087.0
70,5039.0
71,5067.0
72,5038.0
73,5057.0
74,5085.0
75,5013.0
76,4990.0
77,5057.0
78,5033.0
79,5030.0
80,5061.0
81,5000.0
82,5029.0
83,4994.0
84,5037.0
85,5012.0
86,5093.0
87,5027.0
88,5063.0
89,5080.0
90,4967.0
91,5074.0
92,5068.0
93,5078.0
94,5006.0
95,5039.0
96,5043.0
97,5044.0
98,5027.0
99,5052.0
100,5035.63
