,fixed32bit
0,652.0
1,698.0
2,701.0
3,680.0
4,666.0
5,699.0
6,682.0
7,704.0
8,689.0
9,694.0
10,706.0
11,675.0
12,672.0
13,703.0
14,685.0
15,697.0
16,707.0
17,680.0
18,674.0
19,703.0
20,697.0
21,691.0
22,686.0
23,706.0
24,704.0
25,691.0
26,690.0
27,678.0
28,689.0
29,703.0
30,698.0
31,688.0
32,681.0
33,697.0
34,693.0
35,695.0
36,689.0
37,705.0
38,689.0
39,703.0
40,710.0
41,689.0
42,688.0
43,693.0
44,698.0
45,690.0
46,696.0
47,695.0
48,704.0
49,687.0
50,698.0
51,691.0
52,683.0
53,690.0
54,673.0
55,693.0
56,679.0
57,683.0
58,694.0
59,655.0
60,694.0
61,686.0
62,699.0
63,700.0
64,701.0
65,704.0
66,694.0
67,694.0
68,702.0
69,671.0
70,691.0
71,706.0
72,705.0
73,671.0
74,671.0
75,695.0
76,694.0
77,695.0
78,671.0
79,701.0
80,658.0
81,691.0
82,686.0
83,704.0
84,682.0
85,687.0
86,697.0
87,681.0
88,690.0
89,679.0
90,670.0
91,662.0
92,701.0
93,690.0
94,697.0
95,701.0
96,699.0
97,688.0
98,693.0
99,689.0
100,690.19
