,fixed32bit
0,6440.0
1,6492.0
2,6588.0
3,6490.0
4,6520.0
5,6574.0
6,6518.0
7,6467.0
8,6492.0
9,6518.0
10,6510.0
11,6527.0
12,6501.0
13,6501.0
14,6474.0
15,6498.0
16,6523.0
17,6452.0
18,6601.0
19,6545.0
20,6568.0
21,6427.0
22,6495.0
23,6502.0
24,6414.0
25,6574.0
26,6495.0
27,6474.0
28,6501.0
29,6430.0
30,6580.0
31,6427.0
32,6525.0
33,6541.0
34,6501.0
35,6438.0
36,6580.0
37,6506.0
38,6546.0
39,6498.0
40,6459.0
41,6563.0
42,6549.0
43,6551.0
44,6509.0
45,6455.0
46,6516.0
47,6479.0
48,6543.0
49,6533.0
50,6524.0
51,6562.0
52,6486.0
53,6519.0
54,6540.0
55,6425.0
56,6519.0
57,6495.0
58,6549.0
59,6510.0
60,6534.0
61,6499.0
62,6539.0
63,6443.0
64,6556.0
65,6487.0
66,6579.0
67,6469.0
68,6545.0
69,6549.0
70,6572.0
71,6477.0
72,6546.0
73,6505.0
74,6485.0
75,6480.0
76,6622.0
77,6533.0
78,6572.0
79,6494.0
80,6456.0
81,6530.0
82,6512.0
83,6451.0
84,6492.0
85,6494.0
86,6489.0
87,6499.0
88,6518.0
89,6505.0
90,6387.0
91,6476.0
92,6481.0
93,6528.0
94,6550.0
95,6515.0
96,6511.0
97,6553.0
98,6505.0
99,6533.0
100,6510.1
