,fixed32bit
0,7514.0
1,7455.0
2,7562.0
3,7568.0
4,7478.0
5,7482.0
6,7517.0
7,7542.0
8,7471.0
9,7583.0
10,7537.0
11,7608.0
12,7544.0
13,7563.0
14,7497.0
15,7552.0
16,7603.0
17,7562.0
18,7584.0
19,7529.0
20,7563.0
21,7515.0
22,7470.0
23,7465.0
24,7528.0
25,7477.0
26,7541.0
27,7577.0
28,7542.0
29,7534.0
30,7529.0
31,7482.0
32,7588.0
33,7483.0
34,7493.0
35,7552.0
36,7511.0
37,7532.0
38,7447.0
39,7513.0
40,7557.0
41,7473.0
42,7529.0
43,7504.0
44,7566.0
45,7567.0
46,7561.0
47,7624.0
48,7474.0
49,7557.0
50,7534.0
51,7489.0
52,7568.0
53,7528.0
54,7516.0
55,7578.0
56,7525.0
57,7527.0
58,7606.0
59,7518.0
60,7564.0
61,7571.0
62,7555.0
63,7573.0
64,7549.0
65,7498.0
66,7473.0
67,7583.0
68,7564.0
69,7546.0
70,7567.0
71,7568.0
72,7515.0
73,7484.0
74,7522.0
75,7576.0
76,7442.0
77,7591.0
78,7498.0
79,7488.0
80,7530.0
81,7514.0
82,7524.0
83,7530.0
84,7478.0
85,7519.0
86,7466.0
87,7480.0
88,7475.0
89,7445.0
90,7594.0
91,7547.0
92,7480.0
93,7497.0
94,7582.0
95,7469.0
96,7558.0
97,7500.0
98,7560.0
99,7523.0
100,7528.92
