,fixed32bit
0,5158.0
1,5137.0
2,5185.0
3,5162.0
4,5158.0
5,5241.0
6,5189.0
7,5169.0
8,5190.0
9,5168.0
10,5257.0
11,5263.0
12,5193.0
13,5224.0
14,5184.0
15,5174.0
16,5217.0
17,5205.0
18,5235.0
19,5220.0
20,5209.0
21,5245.0
22,5234.0
23,5204.0
24,5174.0
25,5309.0
26,5205.0
27,5271.0
28,5205.0
29,5195.0
30,5218.0
31,5171.0
32,5249.0
33,5154.0
34,5222.0
35,5208.0
36,5154.0
37,5268.0
38,5200.0
39,5121.0
40,5299.0
41,5205.0
42,5207.0
43,5165.0
44,5214.0
45,5257.0
46,5174.0
47,5235.0
48,5257.0
49,5209.0
50,5239.0
51,5165.0
52,5249.0
53,5162.0
54,5199.0
55,5211.0
56,5213.0
57,5235.0
58,5231.0
59,5199.0
60,5213.0
61,5271.0
62,5247.0
63,5149.0
64,5219.0
65,5144.0
66,5270.0
67,5239.0
68,5150.0
69,5267.0
70,5111.0
71,5197.0
72,5239.0
73,5198.0
74,5258.0
75,5178.0
76,5250.0
77,5146.0
78,5180.0
79,5150.0
80,5279.0
81,5173.0
82,5210.0
83,5219.0
84,5169.0
85,5215.0
86,5222.0
87,5172.0
88,5231.0
89,5198.0
90,5185.0
91,5191.0
92,5221.0
93,5246.0
94,5288.0
95,5215.0
96,5147.0
97,5203.0
98,5201.0
99,5164.0
100,5206.95
