Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,3008.0,3152.0,3311.0,5871.0
1,2908.0,3079.0,3262.0,5848.0
2,2782.0,2980.0,3202.0,5913.0
3,3025.0,3181.0,3331.0,5848.0
4,2846.0,2993.0,3236.0,5904.0
5,2837.0,3041.0,3227.0,5895.0
6,2915.0,3056.0,3251.0,5870.0
7,2922.0,3102.0,3267.0,5851.0
8,2899.0,3055.0,3259.0,5782.0
9,3025.0,3175.0,3325.0,5875.0
10,2874.0,3057.0,3249.0,5831.0
11,2846.0,3065.0,3233.0,5900.0
12,2867.0,3065.0,3242.0,5848.0
13,2960.0,3131.0,3287.0,5818.0
14,2912.0,3053.0,3266.0,5905.0
15,2932.0,3094.0,3271.0,5857.0
16,2993.0,3173.0,3302.0,5848.0
17,2982.0,3129.0,3291.0,5851.0
18,2987.0,3080.0,3293.0,5915.0
19,2948.0,3026.0,3266.0,5853.0
20,2956.0,3073.0,3286.0,5927.0
21,2863.0,3070.0,3241.0,5746.0
22,2942.0,3125.0,3284.0,5906.0
23,2971.0,3082.0,3295.0,5867.0
24,2983.0,3145.0,3304.0,5863.0
25,2836.0,3037.0,3229.0,5790.0
26,2945.0,3110.0,3284.0,5837.0
27,2903.0,3104.0,3260.0,5842.0
28,2952.0,3111.0,3288.0,5886.0
29,2921.0,3116.0,3269.0,5784.0
30,2884.0,3046.0,3250.0,5861.0
31,2901.0,3072.0,3252.0,5847.0
32,2970.0,3132.0,3294.0,5851.0
33,2891.0,3038.0,3254.0,5864.0
34,2939.0,3101.0,3281.0,5914.0
35,2987.0,3152.0,3305.0,5826.0
36,2907.0,3099.0,3258.0,5792.0
37,2871.0,3000.0,3243.0,5857.0
38,2928.0,3072.0,3273.0,5825.0
39,2904.0,3093.0,3264.0,5847.0
40,2959.0,3094.0,3286.0,5751.0
41,2674.0,2938.0,3136.0,5845.0
42,2954.0,3113.0,3284.0,5858.0
43,2815.0,3037.0,3214.0,5880.0
44,2927.0,3119.0,3278.0,5896.0
45,2825.0,3008.0,3218.0,5893.0
46,2972.0,3101.0,3290.0,5854.0
47,3028.0,3172.0,3322.0,5799.0
48,2869.0,3022.0,3241.0,5890.0
49,2871.0,3054.0,3240.0,5889.0
50,2863.0,3046.0,3244.0,5817.0
51,2776.0,2959.0,3199.0,5892.0
52,2889.0,3045.0,3252.0,5856.0
53,2911.0,3088.0,3262.0,5894.0
54,2778.0,3000.0,3195.0,5916.0
55,2876.0,3098.0,3245.0,5856.0
56,2956.0,3115.0,3280.0,5939.0
57,3060.0,3180.0,3336.0,5857.0
58,3145.0,3259.0,3379.0,5854.0
59,2817.0,3018.0,3222.0,5858.0
60,2859.0,3036.0,3237.0,5873.0
61,2959.0,3124.0,3283.0,5863.0
62,2900.0,3110.0,3260.0,5890.0
63,2721.0,2955.0,3168.0,5840.0
64,2870.0,3029.0,3236.0,5820.0
65,2943.0,3102.0,3279.0,5832.0
66,2914.0,3100.0,3262.0,5786.0
67,2995.0,3151.0,3307.0,5828.0
68,2925.0,3111.0,3273.0,5828.0
69,2785.0,2962.0,3193.0,5882.0
70,2901.0,3084.0,3261.0,5783.0
71,2774.0,3032.0,3194.0,5872.0
72,2935.0,3097.0,3274.0,5951.0
73,2940.0,3099.0,3282.0,5838.0
74,2745.0,2937.0,3171.0,5941.0
75,2981.0,3137.0,3290.0,5889.0
76,2671.0,2920.0,3139.0,5853.0
77,2817.0,3069.0,3225.0,5905.0
78,2762.0,3038.0,3188.0,5749.0
79,2819.0,3002.0,3215.0,5887.0
80,2962.0,3112.0,3295.0,5803.0
81,2886.0,3060.0,3261.0,5842.0
82,2935.0,3109.0,3277.0,5833.0
83,2880.0,3048.0,3246.0,5892.0
84,2979.0,3144.0,3303.0,5841.0
85,2811.0,3009.0,3207.0,5895.0
86,2887.0,3058.0,3256.0,5834.0
87,2885.0,3089.0,3257.0,5833.0
88,2790.0,2997.0,3198.0,5800.0
89,3054.0,3186.0,3330.0,5846.0
90,2945.0,3110.0,3290.0,5944.0
91,2799.0,2997.0,3210.0,5885.0
92,2887.0,3007.0,3241.0,5831.0
93,2841.0,3009.0,3228.0,5904.0
94,3003.0,3153.0,3306.0,5823.0
95,2885.0,3098.0,3254.0,5893.0
96,2940.0,3081.0,3276.0,5890.0
97,2980.0,3106.0,3298.0,5788.0
98,2947.0,3100.0,3280.0,5894.0
99,2930.0,3140.0,3278.0,5850.0
100,2903.29,3076.39,3259.36,5857.4
